departamento_id,departamento_nombre,lat_dep,lon_dep,estacion_id,estacion_id_interno,estacion_nombre,lat_est,lon_est,distancia_km
82105,san jeronimo,-32.2399352,-61.231266,297,A872868,Las Rosas - EEA Oliveros,-32.49,-61.57,42.253384224943304
38112,yavi,-22.32981174,-65.82598231,516,A872923,Abra Pampa - EEA Abra Pampa,-22.8,-65.83,52.069336689578506
62035,el cuy,-39.866718292,-68.703437805,519,A872947,Plottier - IPAF Patagonia,-38.95,-68.33,106.73777076955108
6623,pergamino,-33.5893048,-60.7727646,236,A872814,Alfonso - EEA Pergamino,-33.91,-60.84,36.112224072989534
6868,villa gesell,-37.336673158,-57.032501469,368,A872833,Las Armas - EEA Cuenca Salado,-37.09,-57.87,79.21860873032367
6343,general paz,-35.451905725,-58.269541772,472,A872806,Chascomus - EEA Cuenca Salado,-35.74,-58.05,37.65029874462727
42007,atreuco,-37.126296112,-63.82921122,233,A872823,Anguil -EEA Anguil,-36.54,-63.99,66.62612156942113
62091,25 de mayo,-41.5127138,-69.51735638,667,A872898,Ing. Jacobacci - EEA Bariloche,-41.33,-69.55,20.475238390650166
70077,rawson,-31.6492,-68.5015,444,A872929,Pocito - EEA San juan,-31.66,-68.59,8.478831819088379
6315,general juan madariaga,-37.024627686,-56.956073761,368,A872833,Las Armas - EEA Cuenca Salado,-37.09,-57.87,81.61178390885632
22119,presidencia de la plaza,-26.84889313,-59.87023116,445,A872901,P. de la Plaza -EEA Sáenz Peña,-26.93,-59.8,11.37756851101747
70007,albardon,-31.326969147,-68.417236328,444,A872929,Pocito - EEA San juan,-31.66,-68.59,40.4095855621454
6655,punta indio,-35.350566,-57.297616,472,A872806,Chascomus - EEA Cuenca Salado,-35.74,-58.05,80.75586327631709
6466,lezama,-35.874824873,-57.896422676,472,A872806,Chascomus - EEA Cuenca Salado,-35.74,-58.05,20.407386318330495
94035,tolhuin,-54.511386755,-67.195804464,339,A872859,San Sebastian - EEA Santa Cruz,-52.89,-68.45,198.55430903649423
46021,castro barros,-28.9634753,-66.99905992,392,A872884,Sumalao - EEA Catamarca,-28.47,-65.73,135.5168255512253
46091,general san martin,-31.692226058,-65.886039021,477,A872826,Villa Dolores - EEA Manfredi,-31.94,-65.22,68.7861836894808
6882,zarate,-33.9804188,-59.2846864,230,A872834,Lima - EEA San Pedro,-33.97,-59.31,2.6091700556234447
22105,9 de julio,-27.017018676,-61.187428084,45,NH0416,INTA - Las Breñas (EMC),-27.1,-61.1,12.639870765848215
86091,jimenez,-26.688954306,-64.454471239,507,A872877,Trancas - EEA Famaillá,-26.28,-65.27,93.08296725086795
22077,libertad,-27.269456708,-59.211222328,377,A872891,Col Popular - EEA Col Benitez,-27.27,-59.14,7.052476693976301
86028,avellaneda,-28.70814175,-63.1050531,251,A872811,Bandera - EEA EEA Quimilí,-28.89,-62.27,83.97798706549378
94007,rio grande,-52.884128633,-68.448783124,339,A872859,San Sebastian - EEA Santa Cruz,-52.89,-68.45,0.6585042949426697
86154,rivadavia,-29.83512,-62.16991,293,A872864,Ceres - EEA Rafaela,-29.87,-61.96,20.64853079259306
2007,comuna 7,-34.63680708,-58.458269851,706,A872995,A872995 - CITEDEF-INTA,-34.56,-58.51,9.752750122815893
42028,catrilo,-36.67294558,-63.66446349,233,A872823,Anguil -EEA Anguil,-36.54,-63.99,32.64852723997914
38049,rinconada,-22.53894,-65.96138,516,A872923,Abra Pampa - EEA Abra Pampa,-22.8,-65.83,31.90720730665929
46119,san blas de los sauces,-28.320748457,-67.053376066,393,A872885,Andalgala - EEA Catamarca,-27.61,-66.33,106.15847079750316
6455,las flores,-36.3036243,-59.3193839,473,A872837,Rauch - EEA Cuenca Salado,-36.8,-59.11,58.18503664487443
6679,rivadavia,-35.4640821,-62.8552805,367,A872906,Trenque Lauquen - EEA Villegas,-35.97,-62.77,56.661397970739955
22098,mayor luis j fontana,-27.689552867,-60.834887832,502,A872958,Du Graty - EEA Sáenz Peña,-27.7,-60.91,7.498789557173845
94021,islas del atlantico sur,-51.806531825,-58.959658956,339,A872859,San Sebastian - EEA Santa Cruz,-52.89,-68.45,657.3363389477511
2005,comuna 5,-34.609227689,-58.421745225,706,A872995,A872995 - CITEDEF-INTA,-34.56,-58.51,9.766553367536531
6700,saavedra,-37.724466063,-62.10173503,245,A872825,Tornquist - EEA Bordenave,-38.12,-62.24,45.554378182045795
62056,norquinco,-41.68252462,-70.71325062,281,A872850,P Golondrinas - EEA Bariloche,-42.0,-71.53,76.45319453371376
6308,general guido,-36.6656205,-58.0745242,368,A872833,Las Armas - EEA Cuenca Salado,-37.09,-57.87,50.50228729504667
6189,coronel dorrego,-38.7655502,-61.4127594,469,A872839,Loma Chata - EEA Barrow,-38.65,-61.45,13.229898639150884
6854,25 de mayo,-35.2813845,-60.2618183,413,A872872,25 de Mayo - EEA Pergamino,-35.48,-60.13,25.08067256161616
70063,9 de julio,-31.702191264,-68.368622065,431,A872928,Caucete - EEA San Juan,-31.7,-68.29,7.457205264075556
22014,bermejo,-26.921750385,-58.778745968,377,A872891,Col Popular - EEA Col Benitez,-27.27,-59.14,52.65450575548097
14063,marcos juarez,-32.62947464,-62.309131622,30,NH0502,INTA - Marcos Juarez (EMC),-32.68,-62.12,18.60716194318714
18021,corrientes capital,-27.4064,-58.782760001,44,NH0487,INTA - Colonia Benitez (EMC),-27.42,-58.93,14.638275475088594
6441,la plata,-35.038806067,-58.059306162,267,A872810,Llavallol - ICyA CIRN,-34.79,-58.45,45.12839621759792
58049,huiliches,-39.73103584,-71.07764941,269,A872849,Bariloche - EEA Bariloche,-41.12,-71.25,154.92633251988244
38014,el carmen,-24.426210403,-65.107406616,488,A872925,Hornillos - IPAF NOA,-23.66,-65.43,90.98735101051791
6686,rojas,-34.2433108,-60.532499,237,A872820,Arrecifes - EEA Pergamino,-34.05,-60.14,42.0729075848318
10070,la paz,-28.71805191,-65.296485901,392,A872884,Sumalao - EEA Catamarca,-28.47,-65.73,50.53675461509215
82049,general obligado,-28.6765561,-59.7497004,511,A872963,Villa Ana - EEA Reconquista,-28.44,-59.8,26.67515445215709
86168,salavina,-29.034310364,-63.338746612,364,A872961,Malbran - EEA Quimilí,-29.32,-62.46,91.15413475773315
86035,banda,-27.59548811,-64.41117012,67,NH0550,INTA - La Maria S.Estero (EMC),-28.02,-64.23,50.31613549295171
6427,la matanza,-34.714172889,-58.508904377,267,A872810,Llavallol - ICyA CIRN,-34.79,-58.45,9.992509939535887
18049,esquina,-30.0784368,-59.4055912,417,A872914,Esquina - EEA Bella Vista,-30.04,-59.53,12.730807486981835
82035,garay,-31.1523125,-60.1365521,284,A872874,La Colmena - EEA Paraná,-31.55,-59.72,59.28962168870576
6539,merlo,-34.708542242,-58.679586725,79,A872801,Castelar - ICyA CIRN,-34.61,-58.67,10.966983271490355
86161,robles,-27.84078886,-63.93408912,67,NH0550,INTA - La Maria S.Estero (EMC),-28.02,-64.23,35.25167211213216
10035,belen,-26.94426,-66.73487,393,A872885,Andalgala - EEA Catamarca,-27.61,-66.33,83.95703796754931
6147,carlos casares,-35.83601,-61.43436,475,A872942,Lincoln - EEA Villegas,-34.84,-61.6,111.52534702566037
6410,ituzaingo,-34.644055116,-58.688489333,79,A872801,Castelar - ICyA CIRN,-34.61,-58.67,4.140880965823958
18112,monte caseros,-30.47490444,-57.98344137,249,A872803,S.J. Frontera - EEA Concordia,-30.36,-58.32,34.75502613065877
6490,lomas de zamora,-34.737902715,-58.440675369,267,A872810,Llavallol - ICyA CIRN,-34.79,-58.45,5.842183656533595
6588,9 de julio,-35.6497312,-61.0228986,413,A872872,25 de Mayo - EEA Pergamino,-35.48,-60.13,83.10831710411874
6357,general pueyrredon,-37.807662538,-57.629890858,240,A872819,Miramar - EEA Balcarce,-38.15,-57.99,49.44525287316064
6672,rauch,-36.3845307,-59.0051146,473,A872837,Rauch - EEA Cuenca Salado,-36.8,-59.11,47.05025616548945
66119,molinos,-25.394729614,-66.38092804,507,A872877,Trancas - EEA Famaillá,-26.28,-65.27,148.4011945608801
6134,canuelas,-35.2637758,-58.6725328,267,A872810,Llavallol - ICyA CIRN,-34.79,-58.45,56.34790614621891
18056,general alvear,-29.106201172,-56.559669495,665,A872897,Gob. Virasoro - EEA Mercedes,-28.27,-55.86,115.17138186772135
2015,comuna 15,-34.592944247,-58.488671416,706,A872995,A872995 - CITEDEF-INTA,-34.56,-58.51,4.145605517052658
