departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
2001,comuna 5,2,caba,2019,3,dengue,6,de 15 a 19 anos,1
2001,comuna 1,2,caba,2019,7,dengue,6,de 15 a 19 anos,1
2001,comuna 1,2,caba,2019,7,dengue,8,de 25 a 34 anos,1
2001,comuna 14,2,caba,2019,8,dengue,10,de 45 a 65 anos,1
2010,comuna 10,2,caba,2019,9,dengue,9,de 35 a 44 anos,1
2001,comuna 14,2,caba,2019,11,dengue,10,de 45 a 65 anos,1
2001,comuna 9,2,caba,2019,11,dengue,6,de 15 a 19 anos,1
2001,comuna 14,2,caba,2019,12,dengue,10,de 45 a 65 anos,1
2001,comuna 3,2,caba,2019,13,dengue,10,de 45 a 65 anos,1
2009,comuna 9,2,caba,2019,13,dengue,10,de 45 a 65 anos,1
2001,comuna 10,2,caba,2019,14,dengue,10,de 45 a 65 anos,1
2001,comuna 9,2,caba,2019,14,dengue,7,de 20 a 24 anos,1
2010,comuna 10,2,caba,2019,15,dengue,10,de 45 a 65 anos,1
2014,comuna 14,2,caba,2019,15,dengue,8,de 25 a 34 anos,1
2001,comuna 15,2,caba,2019,15,dengue,9,de 35 a 44 anos,1
2009,comuna 9,2,caba,2019,15,dengue,6,de 15 a 19 anos,1
2001,comuna 9,2,caba,2019,16,dengue,10,de 45 a 65 anos,1
2001,comuna 9,2,caba,2019,17,dengue,10,de 45 a 65 anos,3
2001,comuna 14,2,caba,2019,19,dengue,10,de 45 a 65 anos,1
2001,comuna 9,2,caba,2019,21,dengue,11,mayores de 65 anos,1
2001,comuna 1,2,caba,2019,49,dengue,10,de 45 a 65 anos,1
2001,comuna 1,2,caba,2019,51,dengue,8,de 25 a 34 anos,1
6091,berazategui,6,buenos aires,2019,7,dengue,10,de 45 a 65 anos,1
6266,exaltacion de la cruz,6,buenos aires,2019,26,dengue,10,de 45 a 65 anos,1
6274,florencio varela,6,buenos aires,2019,9,dengue,6,de 15 a 19 anos,1
6274,florencio varela,6,buenos aires,2019,9,dengue,8,de 25 a 34 anos,2
6274,florencio varela,6,buenos aires,2019,16,dengue,8,de 25 a 34 anos,1
6274,florencio varela,6,buenos aires,2019,18,dengue,9,de 35 a 44 anos,1
6274,florencio varela,6,buenos aires,2019,16,dengue,10,de 45 a 65 anos,1
6357,general pueyrredon,6,buenos aires,2019,14,dengue,8,de 25 a 34 anos,1
6410,ituzaingo,6,buenos aires,2019,12,dengue,5,de 10 a 14 anos,1
6410,ituzaingo,6,buenos aires,2019,9,dengue,6,de 15 a 19 anos,1
6410,ituzaingo,6,buenos aires,2019,15,dengue,6,de 15 a 19 anos,1
6410,ituzaingo,6,buenos aires,2019,19,dengue,6,de 15 a 19 anos,1
6410,ituzaingo,6,buenos aires,2019,9,dengue,7,de 20 a 24 anos,1
6410,ituzaingo,6,buenos aires,2019,11,dengue,7,de 20 a 24 anos,1
6410,ituzaingo,6,buenos aires,2019,13,dengue,7,de 20 a 24 anos,1
6410,ituzaingo,6,buenos aires,2019,13,dengue,8,de 25 a 34 anos,2
6410,ituzaingo,6,buenos aires,2019,14,dengue,8,de 25 a 34 anos,2
6410,ituzaingo,6,buenos aires,2019,15,dengue,8,de 25 a 34 anos,1
6410,ituzaingo,6,buenos aires,2019,9,dengue,9,de 35 a 44 anos,1
6410,ituzaingo,6,buenos aires,2019,11,dengue,9,de 35 a 44 anos,1
6410,ituzaingo,6,buenos aires,2019,12,dengue,9,de 35 a 44 anos,2
6410,ituzaingo,6,buenos aires,2019,13,dengue,9,de 35 a 44 anos,3
6410,ituzaingo,6,buenos aires,2019,14,dengue,9,de 35 a 44 anos,1
6410,ituzaingo,6,buenos aires,2019,16,dengue,9,de 35 a 44 anos,1
6410,ituzaingo,6,buenos aires,2019,18,dengue,9,de 35 a 44 anos,1
6410,ituzaingo,6,buenos aires,2019,12,dengue,10,de 45 a 65 anos,1
6410,ituzaingo,6,buenos aires,2019,13,dengue,10,de 45 a 65 anos,2
6410,ituzaingo,6,buenos aires,2019,14,dengue,10,de 45 a 65 anos,1
6410,ituzaingo,6,buenos aires,2019,16,dengue,10,de 45 a 65 anos,1
6410,ituzaingo,6,buenos aires,2019,17,dengue,10,de 45 a 65 anos,2
6410,ituzaingo,6,buenos aires,2019,18,dengue,10,de 45 a 65 anos,1
6410,ituzaingo,6,buenos aires,2019,19,dengue,10,de 45 a 65 anos,1
6412,jose c paz,6,buenos aires,2019,21,dengue,8,de 25 a 34 anos,1
6441,la plata,6,buenos aires,2019,19,dengue,7,de 20 a 24 anos,1
6441,la plata,6,buenos aires,2019,15,dengue,8,de 25 a 34 anos,1
6515,malvinas argentinas,6,buenos aires,2019,23,dengue,7,de 20 a 24 anos,1
6515,malvinas argentinas,6,buenos aires,2019,12,dengue,8,de 25 a 34 anos,1
6532,mercedes,6,buenos aires,2019,14,dengue,8,de 25 a 34 anos,1
6568,moron,6,buenos aires,2019,17,dengue,8,de 25 a 34 anos,1
6568,moron,6,buenos aires,2019,16,dengue,9,de 35 a 44 anos,1
6568,moron,6,buenos aires,2019,12,dengue,10,de 45 a 65 anos,1
6568,moron,6,buenos aires,2019,16,dengue,10,de 45 a 65 anos,1
6568,moron,6,buenos aires,2019,16,dengue,11,mayores de 65 anos,1
6623,pergamino,6,buenos aires,2019,15,dengue,8,de 25 a 34 anos,1
6623,pergamino,6,buenos aires,2019,7,dengue,10,de 45 a 65 anos,2
6760,san miguel,6,buenos aires,2019,15,dengue,9,de 35 a 44 anos,1
6791,tandil,6,buenos aires,2019,18,dengue,10,de 45 a 65 anos,1
6805,tigre,6,buenos aires,2019,9,dengue,4,de 5 a 9 anos,1
6882,zarate,6,buenos aires,2019,6,dengue,9,de 35 a 44 anos,1
14014,capital,14,cordoba,2019,19,dengue,9,de 35 a 44 anos,1
14021,colon,14,cordoba,2019,17,dengue,7,de 20 a 24 anos,1
14021,colon,14,cordoba,2019,9,dengue,10,de 45 a 65 anos,1
22036,12 de octubre,22,chaco,2019,21,dengue,6,de 15 a 19 anos,1
22039,2 de abril,22,chaco,2019,18,dengue,3,de 2 a 4 anos,1
22105,9 de julio,22,chaco,2019,19,dengue,6,de 15 a 19 anos,1
22028,chacabuco,22,chaco,2019,15,dengue,7,de 20 a 24 anos,1
22028,chacabuco,22,chaco,2019,15,dengue,8,de 25 a 34 anos,1
22028,chacabuco,22,chaco,2019,2,dengue,10,de 45 a 65 anos,1
22021,comandante fernandez,22,chaco,2019,25,dengue,10,de 45 a 65 anos,1
22049,general belgrano,22,chaco,2019,21,dengue,9,de 35 a 44 anos,1
