departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
comuna 5,2,ciudad de buenos aires,2023,1,dengue,6,de 15 a 19 anos,1,comuna 5,ciudad de buenos aires,2,2005,187907
san fernando,22,chaco,2023,1,dengue,8,de 25 a 34 anos,1,san fernando,chaco,3,22140,454478
misiones capital,54,misiones,2023,1,dengue,11,mayores de 65 anos,1,misiones capital,misiones,4,54028,383246
san fernando,22,chaco,2023,1,dengue,5,de 10 a 14 anos,2,san fernando,chaco,5,22140,454478
comuna 9,2,ciudad de buenos aires,2023,1,dengue,11,mayores de 65 anos,1,comuna 9,ciudad de buenos aires,6,2009,171733
san fernando,22,chaco,2023,1,dengue,10,de 45 a 65 anos,2,san fernando,chaco,7,22140,454478
malvinas argentinas,6,buenos aires,2023,1,dengue,11,mayores de 65 anos,1,malvinas argentinas,buenos aires,8,6515,369648
comuna 4,2,ciudad de buenos aires,2023,1,dengue,5,de 10 a 14 anos,1,comuna 4,ciudad de buenos aires,9,2004,240937
comuna 5,2,ciudad de buenos aires,2023,1,dengue,11,mayores de 65 anos,1,comuna 5,ciudad de buenos aires,10,2005,187907
libertad,22,chaco,2023,1,dengue,10,de 45 a 65 anos,1,libertad,chaco,11,22077,15312
san fernando,22,chaco,2023,1,dengue,9,de 35 a 44 anos,6,san fernando,chaco,12,22140,454478
rio cuarto,14,cordoba,2023,1,dengue,11,mayores de 65 anos,1,rio cuarto,cordoba,13,14098,284887
avellaneda,86,rio negro,2023,1,dengue,9,de 35 a 44 anos,1,avellaneda,santiago del estero,14,62014,41608
san fernando,22,chaco,2023,1,dengue,11,mayores de 65 anos,3,san fernando,chaco,15,22140,454478
guaymallen,50,mendoza,2023,1,dengue,10,de 45 a 65 anos,1,guaymallen,mendoza,16,50028,344264
misiones capital,54,misiones,2023,1,dengue,9,de 35 a 44 anos,1,misiones capital,misiones,17,54028,383246
comuna 13,2,ciudad de buenos aires,2023,1,dengue,9,de 35 a 44 anos,1,comuna 13,ciudad de buenos aires,18,2013,236650
jose c paz,6,buenos aires,2023,1,dengue,8,de 25 a 34 anos,1,jose c paz,buenos aires,19,6412,318364
comandante fernandez,22,chaco,2023,1,dengue,2,de 13 a 24 meses,1,comandante fernandez,chaco,20,22021,118660
cordoba capital,14,cordoba,2023,1,dengue,10,de 45 a 65 anos,1,cordoba capital,cordoba,21,14014,1474541
san fernando,22,chaco,2023,1,dengue,6,de 15 a 19 anos,1,san fernando,chaco,22,22140,454478
comuna 1,2,ciudad de buenos aires,2023,2,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,23,2001,258497
cordoba capital,14,cordoba,2023,2,dengue,10,de 45 a 65 anos,1,cordoba capital,cordoba,24,14014,1474541
libertador general san martin,22,san luis,2023,2,dengue,10,de 45 a 65 anos,1,libertador general san martin,chaco,25,74063,4253
chacabuco,22,buenos aires,2023,2,dengue,11,mayores de 65 anos,1,chacabuco,chaco,26,6210,53620
libertador general san martin,22,san luis,2023,2,dengue,8,de 25 a 34 anos,1,libertador general san martin,chaco,27,74063,4253
rio cuarto,14,cordoba,2023,2,dengue,10,de 45 a 65 anos,1,rio cuarto,cordoba,28,14098,284887
merlo,6,buenos aires,2023,2,dengue,7,de 20 a 24 anos,1,merlo,buenos aires,29,6539,626975
general jose de san martin,66,salta,2023,2,dengue,9,de 35 a 44 anos,1,general jose de san martin,salta,30,66056,191852
comuna 13,2,ciudad de buenos aires,2023,2,dengue,10,de 45 a 65 anos,1,comuna 13,ciudad de buenos aires,31,2013,236650
comuna 1,2,ciudad de buenos aires,2023,2,dengue,5,de 10 a 14 anos,1,comuna 1,ciudad de buenos aires,32,2001,258497
rosario,82,santa fe,2023,2,dengue,11,mayores de 65 anos,1,rosario,santa fe,33,82084,1310461
libertador general san martin,22,san luis,2023,2,dengue,5,de 10 a 14 anos,1,libertador general san martin,chaco,34,74063,4253
san fernando,22,chaco,2023,2,dengue,11,mayores de 65 anos,1,san fernando,chaco,35,22140,454478
san fernando,22,chaco,2023,2,dengue,4,de 5 a 9 anos,1,san fernando,chaco,36,22140,454478
laishi,34,formosa,2023,2,dengue,10,de 45 a 65 anos,1,laishi,formosa,37,34021,19333
goya,18,corrientes,2023,2,dengue,5,de 10 a 14 anos,1,goya,corrientes,38,18070,99797
san fernando,22,chaco,2023,2,dengue,11,mayores de 65 anos,1,san fernando,chaco,39,22140,454478
