UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
10007,ambato,4628,4631,4634,4638,4641,4645,4648,4651
10014,ancasti,2935,2926,2916,2908,2899,2890,2882,2874
10021,andalgala,19718,19848,19976,20102,20225,20346,20465,20579
10028,antofagasta de la sierra,1620,1637,1653,1670,1687,1703,1718,1734
10035,belen,30859,31131,31399,31663,31921,32175,32421,32660
10042,capayan,18258,18470,18678,18882,19082,19278,19469,19654
,capital,179628,181531,183406,185250,187057,188824,190547,192221
10056,el alto,3858,3881,3903,3924,3945,3966,3987,4007
10063,fray mamerto esquiu,13342,13479,13614,13745,13875,14001,14125,14246
10070,la paz,24834,25023,25209,25392,25572,25748,25918,26085
10077,paclin,4308,4307,4307,4305,4305,4304,4303,4302
10084,poman,12173,12307,12439,12569,12696,12821,12942,13060
10091,santa maria,23886,23969,24050,24130,24209,24286,24361,24434
10098,santa rosa,13812,13990,14165,14336,14504,14668,14829,14985
10105,tinogasta,23249,23275,23301,23326,23351,23375,23399,23421
10112,valle viejo,31044,31419,31788,32151,32507,32855,33194,33525
