Departamento,2018,2019,2020,2021,2022,2023,2024,2025
aguirre,8329,8415,8500,8585,8668,8751,8833,8913
alberdi,19266,19511,19755,19997,20236,20474,20708,20938
atamisqui,12286,12452,12619,12784,12948,13110,13269,13426
avellaneda,22536,22745,22952,23158,23362,23564,23763,23958
banda,159233,161307,163370,165419,167451,169458,171438,173384
belgrano,10763,10954,11144,11332,11519,11703,11886,12065
capital,292124,295109,298076,301019,303936,306825,309665,312462
choya,36182,36334,36486,36637,36786,36934,37080,37223
copo,36692,37356,38016,38671,39321,39963,40597,41219
figueroa,18422,18476,18529,18582,18635,18687,18739,18789
general taboada,40098,40310,40522,40732,40941,41146,41349,41549
guasayan,7908,7937,7967,7997,8026,8055,8083,8111
jimenez,15798,15972,16144,16316,16485,16654,16820,16983
juan f ibarra,19435,19595,19753,19912,20068,20223,20376,20526
loreto,23060,23439,23815,24190,24560,24926,25287,25643
mitre,2002,2014,2026,2038,2050,2062,2074,2084
moreno,36924,37521,38117,38706,39292,39871,40441,41002
ojo de agua,14892,14991,15089,15186,15283,15377,15471,15564
pellegrini,21857,22007,22156,22304,22452,22597,22740,22881
quebrachos,10258,10197,10136,10077,10019,9962,9906,9852
rio hondo,59958,60564,61166,61764,62357,62943,63521,64089
rivadavia,5197,5213,5230,5246,5263,5279,5295,5311
robles,49655,50296,50933,51565,52192,52812,53423,54024
salavina,11957,12039,12123,12204,12285,12365,12444,12522
san martin,10710,10814,10917,11019,11121,11221,11320,11417
sarmiento,4751,4762,4772,4784,4795,4806,4817,4829
silipica,7958,7979,8000,8021,8042,8062,8083,8102
