UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
14007,calamuchita,67272,68881,70512,72164,73837,75530,77241,78970
14014,cordoba capital,1438492,1446201,1453684,1460905,1467867,1474541,1481028,1487310
14021,colon,286115,293944,301889,309982,318211,326575,334971,343397
14028,cruz del eje,66671,67664,68656,69645,70632,71615,72593,73564
14035,general roca,39776,40203,40626,41043,41454,41859,42257,42647
14042,general san martin,141326,142892,144441,145973,147485,148975,150443,151884
14049,ischilin,35562,35920,36276,36625,36968,37307,37637,37961
14056,juarez celman,68103,68960,69812,70658,71496,72326,73147,73958
14063,marcos juarez,113291,114165,115019,115851,116662,117448,118209,118945
14070,minas,5054,5065,5075,5083,5090,5097,5101,5104
14077,pocho,5716,5747,5778,5806,5834,5860,5885,5908
14084,presidente roque saenz pena,39753,40084,40409,40727,41037,41340,41633,41918
14091,punilla,206031,209578,213136,216702,220275,223850,227422,230989
14098,rio cuarto,272804,275310,277775,280194,282566,284887,287152,289359
14105,rio primero,52481,53159,53832,54501,55165,55825,56476,57120
14112,rio seco,15158,15326,15494,15659,15822,15984,16143,16300
14119,rio segundo,113752,114937,116106,117259,118396,119514,120611,121685
14126,san alberto,42504,43206,43908,44613,45317,46021,46725,47426
14133,san javier,58894,59534,60165,60790,61406,62013,62609,63195
14140,san justo,224361,226448,228501,230517,232495,234432,236323,238167
14147,santa maria,114999,117013,119033,121060,123090,125124,127158,129189
14154,sobremonte,5003,5034,5063,5091,5118,5144,5168,5191
14161,tercero arriba,119964,120764,121541,122294,123022,123723,124397,125040
14168,totoral,21058,21372,21686,22000,22312,22623,22933,23241
14175,tulumba,13892,14001,14108,14213,14314,14413,14510,14603
14182,union,115905,116924,117925,118906,119867,120804,121717,122606
