UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
30008,colon,74086,75555,77039,78535,80043,81563,83093,84632
30015,concordia,187448,189291,191117,192924,194711,196476,198216,199927
30021,diamante,50565,50978,51384,51782,52175,52558,52933,53298
30028,federacion,80510,81921,83341,84769,86203,87641,89084,90530
30035,federal,27836,28014,28189,28358,28522,28682,28836,28984
30042,feliciano,16255,16363,16468,16571,16670,16767,16861,16951
30049,gualeguay,57414,57993,58565,59130,59690,60241,60785,61320
30056,gualeguaychu,121655,122948,124231,125501,126759,128003,129229,130439
30063,islas del ibicuy,13199,13310,13420,13527,13633,13737,13839,13937
30070,la paz,71356,71710,72051,72378,72691,72990,73274,73542
30077,nogoya,41036,41174,41304,41427,41541,41646,41742,41830
30084,parana,370876,373924,376912,379856,382741,385567,388325,391022
30088,san salvador,19373,19589,19804,20018,20229,20439,20646,20850
30091,tala,26589,26626,26659,26686,26708,26724,26735,26739
30098,uruguay,111048,112111,113161,114198,115221,116229,117220,118192
30105,victoria,39028,39349,39665,39974,40279,40576,40868,41152
30113,villaguay,52169,52414,52651,52876,53092,53297,53491,53674
