UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
38007,cochinoca,13471,13533,13592,13647,13699,13747,13791,13832
38021,doctor manuel belgrano,301009,304936,308821,312671,316474,320238,323959,327628
38014,el carmen,112896,114733,116567,118397,120222,122041,123852,125650
38028,humahuaca,18517,18606,18692,18771,18847,18917,18982,19041
38035,ledesma,88216,88774,89309,89823,90315,90783,91229,91648
38042,palpala,58737,59374,59999,60614,61220,61814,62396,62965
38049,rinconada,2821,2860,2903,2943,2987,3034,3075,3118
38056,san antonio,5439,5560,5684,5808,5933,6059,6185,6314
38063,san pedro,80859,81362,81843,82305,82747,83167,83565,83940
38070,santa barbara,18921,19015,19103,19185,19264,19337,19405,19466
38077,santa catalina,2670,2644,2619,2597,2577,2555,2529,2502
38084,susques,4079,4104,4127,4151,4172,4194,4214,4233
38094,tilcara,14807,15107,15410,15713,16019,16326,16634,16943
38098,tumbaya,4915,4932,4948,4962,4975,4987,4997,5005
38105,valle grande,2598,2609,2619,2628,2637,2644,2652,2659
38112,yavi,23936,24291,24645,24997,25348,25696,26042,26384
