UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
54007,apostoles,46501,46948,47387,47819,48244,48661,49070,49471
54014,cainguas,59470,60119,60756,61382,61998,62605,63198,63780
54021,candelaria,31445,31936,32419,32893,33360,33819,34269,34710
54028,misiones capital,363204,367349,371424,375429,379374,383246,387045,390765
54035,concepcion,10165,10221,10275,10328,10381,10433,10484,10533
54042,eldorado,88307,89405,90484,91543,92588,93613,94618,95603
54049,general manuel belgrano,51435,52404,53354,54289,55209,56113,57000,57868
54056,guarani,77469,78520,79553,80568,81567,82549,83512,84454
54063,iguazu,96639,98258,99849,101413,102952,104465,105947,107400
54070,leandro n alem,48730,49098,49461,49817,50167,50512,50850,51181
54077,libertador general san martin,50831,51273,51706,52133,52552,52963,53367,53763
54084,montecarlo,39635,39925,40209,40490,40765,41035,41301,41559
54091,obera,119248,120499,121727,122934,124122,125290,126436,127556
54098,san ignacio,61058,61365,61666,61963,62254,62541,62822,63097
54105,san javier,22626,22800,22971,23139,23304,23466,23626,23782
54112,san pedro,37647,38399,39137,39863,40578,41281,41969,42642
54119,25 de mayo,28767,28843,28916,28989,29061,29131,29200,29267
