UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
62007,adolfo alsina,64124,64791,65450,66102,66746,67383,68011,68631
62014,avellaneda,39486,39920,40349,40774,41193,41608,42018,42422
62021,bariloche,158251,161012,163743,166443,169112,171749,174351,176919
62028,conesa,8019,8119,8221,8319,8417,8515,8609,8704
62035,el cuy,6505,6643,6781,6918,7052,7185,7317,7446
62042,general roca,361612,366014,370245,374450,378623,382551,386605,390644
62049,9 de julio,3376,3354,3334,3313,3293,3272,3253,3233
62056,norquinco,1491,1460,1430,1401,1371,1349,1321,1294
62063,pichi mahuida,14426,14433,14441,14448,14454,14461,14468,14475
62070,pilcaniyeu,9002,9180,9356,9530,9702,9873,10040,10206
62077,san antonio,35515,36107,36787,37460,38126,38961,39625,40280
62084,valcheta,8249,8393,8556,8697,8824,8956,9080,9161
62091,25 de mayo,18347,18634,18917,19197,19474,19747,20017,20282
