UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
66007,anta,66918,67927,68925,69909,70881,71843,72788,73719
66014,cachi,7636,7653,7672,7689,7706,7724,7740,7756
66021,cafayate,18378,18774,19162,19548,19927,20303,20672,21036
66028,salta capital,614764,622964,631058,639055,646956,654756,662439,670002
66035,cerrillos,46277,47476,48658,49825,50979,52117,53240,54343
66042,chicoana,23879,24212,24541,24864,25184,25501,25811,26119
66049,general guemes,53853,54536,55211,55877,56535,57185,57826,58456
66056,general jose de san martin,180080,182495,184877,187231,189556,191852,194114,196340
66063,guachipas,3283,3286,3288,3290,3293,3295,3297,3299
66070,iruya,5854,5820,5786,5752,5720,5687,5655,5623
66077,la caldera,10035,10295,10551,10804,11054,11300,11543,11782
66084,la candelaria,6331,6392,6452,6511,6571,6628,6686,6741
66091,la poma,1775,1774,1773,1773,1772,1771,1771,1771
66098,la vina,7993,8041,8088,8133,8179,8224,8269,8312
66105,los andes,6697,6759,6821,6882,6942,7002,7060,7117
66112,metan,43239,43478,43714,43947,44178,44405,44629,44849
66119,molinos,5924,5941,5958,5974,5991,6006,6022,6038
66126,oran,158520,160555,162562,164544,166504,168438,170343,172219
66133,rivadavia,34313,34714,35109,35499,35885,36266,36641,37010
66140,rosario de la frontera,31055,31225,31393,31560,31723,31885,32045,32203
66147,rosario de lerma,44626,45248,45862,46467,47067,47657,48240,48813
66154,san carlos,7106,7096,7087,7077,7068,7058,7050,7040
66161,santa victoria,9996,9923,9849,9777,9707,9636,9567,9499
