UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
82007,belgrano,50301,50897,51493,52086,52679,53269,53857,54442
82014,caseros,88236,88772,89297,89812,90314,90804,91281,91746
82021,castellanos,201008,203520,206032,208542,211047,213548,216041,218527
82028,constitucion,95006,95794,96574,97346,98106,98857,99596,100325
82035,garay,22954,23160,23364,23566,23766,23964,24159,24352
82042,general lopez,208572,210270,211950,213608,215245,216859,218447,220011
82049,general obligado,195540,197519,199488,201445,203388,205315,207225,209119
82056,iriondo,71298,71685,72062,72429,72787,73133,73469,73794
82063,la capital,573912,578665,583368,588016,592604,597127,601585,605978
82070,las colonias,119328,120936,122547,124160,125772,127385,128997,130607
82077,9 de julio,32942,33260,33574,33886,34195,34502,34806,35107
82084,rosario,1277164,1284166,1291010,1297681,1304168,1310461,1316568,1322478
82091,san cristobal,75833,76534,77228,77917,78599,79273,79940,80600
82098,san javier,33588,33832,34075,34313,34547,34778,35004,35226
82105,san jeronimo,88492,89243,89985,90720,91445,92161,92866,93563
82112,san justo,43608,43827,44041,44247,44447,44642,44830,45010
82119,san lorenzo,179564,182083,184609,187140,189674,192210,194747,197285
82126,san martin,69694,70259,70819,71372,71918,72455,72985,73506
82133,vera,54474,54691,54902,55104,55298,55484,55660,55829
