anio,mes,provincia_nombre,cantidad_casos
2018,1,CHACO,2
2018,1,CIUDAD AUTONOMA DE BUENOS AIRES,1
2018,1,FORMOSA,4
2018,1,MISIONES,1
2018,1,SANTIAGO DEL ESTERO,3
2018,2,BUENOS AIRES,9
2018,2,CIUDAD AUTONOMA DE BUENOS AIRES,10
2018,2,FORMOSA,5
2018,2,MISIONES,2
2018,3,BUENOS AIRES,44
2018,3,CHACO,23
2018,3,CIUDAD AUTONOMA DE BUENOS AIRES,30
2018,3,CORDOBA,8
2018,3,CORRIENTES,1
2018,3,FORMOSA,10
2018,3,MISIONES,17
2018,3,SALTA,2
2018,4,BUENOS AIRES,103
2018,4,CHACO,274
2018,4,CIUDAD AUTONOMA DE BUENOS AIRES,80
2018,4,CORDOBA,4
2018,4,CORRIENTES,7
2018,4,DESCONOCIDA,2
2018,4,ENTRE RIOS,3
2018,4,FORMOSA,2
2018,4,MISIONES,61
2018,4,SALTA,4
2018,4,SANTA FE,2
2018,4,SANTIAGO DEL ESTERO,99
2018,4,TUCUMAN,1
2018,5,BUENOS AIRES,27
2018,5,CHACO,409
2018,5,CIUDAD AUTONOMA DE BUENOS AIRES,9
2018,5,CORDOBA,1
2018,5,CORRIENTES,96
2018,5,ENTRE RIOS,2
2018,5,FORMOSA,3
2018,5,MISIONES,63
2018,5,SALTA,49
2018,5,SANTA FE,6
2018,5,SANTIAGO DEL ESTERO,14
2018,5,TUCUMAN,1
2018,6,CHACO,25
2018,6,CIUDAD AUTONOMA DE BUENOS AIRES,2
2018,6,CORRIENTES,20
2018,6,MENDOZA,1
2018,6,MISIONES,10
2018,6,SALTA,3
2018,6,SANTA FE,2
2018,7,CHACO,3
2018,7,CORRIENTES,2
2018,9,CHACO,1
2018,9,CIUDAD AUTONOMA DE BUENOS AIRES,1
2018,10,BUENOS AIRES,3
2018,11,CHACO,1
2018,11,MISIONES,1
2018,12,BUENOS AIRES,1
2018,12,CHACO,1
2018,12,ENTRE RIOS,1
2018,12,MISIONES,3
2018,12,SANTA FE,1
2019,1,CHACO,1
2019,1,CIUDAD AUTONOMA DE BUENOS AIRES,1
2019,1,FORMOSA,11
2019,1,MISIONES,24
2019,1,SALTA,66
2019,1,SANTA FE,35
2019,1,SANTIAGO DEL ESTERO,1
2019,2,BUENOS AIRES,11
2019,2,CHACO,1
2019,2,CIUDAD AUTONOMA DE BUENOS AIRES,4
2019,2,CORDOBA,1
2019,2,JUJUY,7
2019,2,MISIONES,75
2019,2,SALTA,161
2019,2,SANTA FE,99
2019,3,BUENOS AIRES,16
2019,3,CHACO,8
2019,3,CIUDAD AUTONOMA DE BUENOS AIRES,5
2019,3,JUJUY,50
2019,3,MISIONES,108
2019,3,SALTA,240
2019,3,SANTA FE,115
2019,3,TUCUMAN,1
2019,4,BUENOS AIRES,26
2019,4,CHACO,24
2019,4,CIUDAD AUTONOMA DE BUENOS AIRES,10
2019,4,CORDOBA,1
2019,4,FORMOSA,1
2019,4,JUJUY,246
2019,4,MISIONES,157
2019,4,SALTA,230
2019,4,SANTA FE,191
2019,4,SANTIAGO DEL ESTERO,3
2019,4,TUCUMAN,1
2019,5,BUENOS AIRES,4
2019,5,CHACO,78
2019,5,CIUDAD AUTONOMA DE BUENOS AIRES,2
2019,5,CORDOBA,1
2019,5,JUJUY,223
2019,5,MISIONES,148
2019,5,SALTA,213
2019,5,SANTA FE,50
2019,5,TUCUMAN,3
2019,6,BUENOS AIRES,2
2019,6,CHACO,5
2019,6,JUJUY,27
2019,6,MISIONES,7
2019,6,SALTA,24
2019,6,SANTA FE,4
2019,7,CHACO,1
2019,7,JUJUY,1
2019,7,SALTA,8
2019,9,CHACO,1
2019,9,MISIONES,2
2019,10,MISIONES,5
2019,11,CHACO,1
2019,11,MISIONES,19
2019,12,CIUDAD AUTONOMA DE BUENOS AIRES,2
2019,12,FORMOSA,2
2019,12,MISIONES,27
2019,12,SALTA,2
2019,12,SANTA FE,1
2020,1,BUENOS AIRES,30
2020,1,CHACO,13
2020,1,CIUDAD AUTONOMA DE BUENOS AIRES,30
2020,1,CORDOBA,12
2020,1,CORRIENTES,13
2020,1,ENTRE RIOS,6
2020,1,FORMOSA,72
2020,1,JUJUY,15
2020,1,LA RIOJA,9
2020,1,MENDOZA,2
2020,1,MISIONES,507
2020,1,SALTA,32
2020,1,SANTIAGO DEL ESTERO,1
2020,2,(EN BLANCO),2
2020,2,BUENOS AIRES,521
2020,2,CATAMARCA,17
2020,2,CHACO,181
2020,2,CIUDAD AUTONOMA DE BUENOS AIRES,499
2020,2,CORDOBA,232
2020,2,CORRIENTES,157
2020,2,ENTRE RIOS,44
2020,2,FORMOSA,616
2020,2,JUJUY,99
2020,2,LA PAMPA,2
2020,2,LA RIOJA,133
2020,2,MENDOZA,3
2020,2,MISIONES,1384
2020,2,NEUQUEN,2
2020,2,RIO NEGRO,2
2020,2,SALTA,339
2020,2,SAN LUIS,1
2020,2,SANTA FE,208
2020,2,SANTIAGO DEL ESTERO,30
2020,2,TUCUMAN,2
2020,3,(EN BLANCO),1
2020,3,*SIN DATO*,1
2020,3,BUENOS AIRES,3431
2020,3,CATAMARCA,204
2020,3,CHACO,968
2020,3,CIUDAD AUTONOMA DE BUENOS AIRES,3469
2020,3,CORDOBA,1841
2020,3,CORRIENTES,818
2020,3,ENTRE RIOS,305
2020,3,FORMOSA,853
2020,3,JUJUY,1460
2020,3,LA PAMPA,3
2020,3,LA RIOJA,681
2020,3,MENDOZA,4
2020,3,MISIONES,2300
2020,3,NEUQUEN,3
2020,3,RIO NEGRO,2
2020,3,SALTA,1560
2020,3,SAN JUAN,13
2020,3,SAN LUIS,21
2020,3,SANTA CRUZ,3
2020,3,SANTA FE,1653
2020,3,SANTIAGO DEL ESTERO,18
2020,3,TIERRA DEL FUEGO,2
2020,3,TUCUMAN,26
2020,4,*SIN DATO*,1
2020,4,BUENOS AIRES,1768
2020,4,CATAMARCA,82
2020,4,CHACO,959
2020,4,CHUBUT,1
2020,4,CIUDAD AUTONOMA DE BUENOS AIRES,2373
2020,4,CORDOBA,1187
2020,4,CORRIENTES,666
2020,4,ENTRE RIOS,190
2020,4,FORMOSA,662
2020,4,JUJUY,2185
2020,4,LA PAMPA,1
2020,4,LA RIOJA,69
2020,4,MISIONES,954
2020,4,SALTA,1083
2020,4,SAN JUAN,45
2020,4,SAN LUIS,5
2020,4,SANTA CRUZ,2
2020,4,SANTA FE,2094
2020,4,SANTIAGO DEL ESTERO,4
2020,4,TIERRA DEL FUEGO,1
2020,4,TUCUMAN,54
2020,5,(EN BLANCO),1
2020,5,BUENOS AIRES,450
2020,5,CATAMARCA,23
2020,5,CHACO,826
2020,5,CIUDAD AUTONOMA DE BUENOS AIRES,465
2020,5,CORDOBA,315
2020,5,CORRIENTES,727
2020,5,ENTRE RIOS,34
2020,5,FORMOSA,621
2020,5,JUJUY,1429
2020,5,LA RIOJA,23
2020,5,MENDOZA,2
2020,5,MISIONES,195
2020,5,SALTA,405
2020,5,SAN JUAN,42
2020,5,SANTA CRUZ,1
2020,5,SANTA FE,685
2020,5,TIERRA DEL FUEGO,1
2020,5,TUCUMAN,21
2020,6,(EN BLANCO),1
2020,6,BUENOS AIRES,23
2020,6,CHACO,87
2020,6,CHUBUT,1
2020,6,CIUDAD AUTONOMA DE BUENOS AIRES,15
2020,6,CORDOBA,9
2020,6,CORRIENTES,117
2020,6,ENTRE RIOS,2
2020,6,FORMOSA,213
2020,6,JUJUY,42
2020,6,LA RIOJA,4
2020,6,MISIONES,41
2020,6,SALTA,159
2020,6,SAN JUAN,2
2020,6,SANTA FE,26
2020,6,TUCUMAN,1
2020,7,BUENOS AIRES,1
2020,7,CHACO,1
2020,7,CIUDAD AUTONOMA DE BUENOS AIRES,3
2020,7,CORRIENTES,15
2020,7,FORMOSA,43
2020,7,JUJUY,1
2020,7,SALTA,3
2020,7,SANTA FE,2
2020,8,BUENOS AIRES,2
2020,8,CHACO,1
2020,8,CORRIENTES,4
2020,8,FORMOSA,9
2020,9,BUENOS AIRES,2
2020,9,CHACO,1
2020,9,CIUDAD AUTONOMA DE BUENOS AIRES,2
2020,9,FORMOSA,7
2020,10,BUENOS AIRES,1
2020,10,CHACO,1
2020,10,CIUDAD AUTONOMA DE BUENOS AIRES,1
2020,10,FORMOSA,4
2020,10,SANTA FE,1
2020,11,BUENOS AIRES,5
2020,11,CHACO,1
2020,11,CIUDAD AUTONOMA DE BUENOS AIRES,3
2020,11,CORRIENTES,1
2020,11,FORMOSA,3
2020,11,SALTA,3
2020,11,SANTA FE,1
2020,12,BUENOS AIRES,1
2020,12,CIUDAD AUTONOMA DE BUENOS AIRES,3
2020,12,CORDOBA,1
2020,12,CORRIENTES,1
2020,12,FORMOSA,3
2020,12,MISIONES,47
2020,12,SALTA,8
2021,1,34,61
2021,1,46,6
2021,1,54,4
2021,1,66,57
2021,1,82,1
2021,2,18,1
2021,2,34,219
2021,2,38,1
2021,2,46,43
2021,2,54,14
2021,2,66,178
2021,2,82,1
2021,2,90,1
2021,3,14,2
2021,3,18,1
2021,3,2,2
2021,3,30,4
2021,3,34,91
2021,3,38,28
2021,3,42,1
2021,3,46,270
2021,3,50,1
2021,3,54,46
2021,3,6,6
2021,3,66,443
2021,3,74,2
2021,3,82,3
2021,3,90,1
2021,4,10,1
2021,4,14,3
2021,4,18,10
2021,4,2,1
2021,4,22,1
2021,4,30,13
2021,4,34,27
2021,4,38,92
2021,4,46,498
2021,4,54,37
2021,4,6,5
2021,4,66,655
2021,4,74,4
2021,4,82,24
2021,4,90,5
2021,5,10,2
2021,5,14,4
2021,5,18,2
2021,5,22,1
2021,5,34,3
2021,5,38,58
2021,5,46,368
2021,5,54,20
2021,5,66,553
2021,5,74,1
2021,5,78,1
2021,5,82,10
2021,5,90,13
2021,6,38,10
2021,6,46,7
2021,6,54,2
2021,6,66,67
2021,6,82,1
2021,6,90,3
2021,7,66,1
2022,1,BUENOS AIRES,2
2022,1,CATAMARCA,1
2022,1,SALTA,5
2022,1,SANTA FE,1
2022,2,BUENOS AIRES,19
2022,2,CIUDAD AUTONOMA DE BUENOS AIRES,2
2022,2,SALTA,4
2022,2,SAN LUIS,1
2022,2,SANTA FE,2
2022,2,SANTIAGO DEL ESTERO,1
2022,3,BUENOS AIRES,43
2022,3,CATAMARCA,1
2022,3,CORDOBA,1
2022,3,MENDOZA,1
2022,3,SALTA,108
2022,3,SANTA FE,9
2022,4,BUENOS AIRES,71
2022,4,CIUDAD AUTONOMA DE BUENOS AIRES,1
2022,4,CORDOBA,2
2022,4,SALTA,335
2022,4,SANTA FE,6
2022,4,SANTIAGO DEL ESTERO,3
2022,5,BUENOS AIRES,13
