id_depto_indec_residencia,departamento_residencia,id_prov_indec_residencia,provincia_residencia,anio_min,evento,id_grupo_etario,grupo_etario,sepi_min,cantidad,depto_full_id
5,COMUNA 5,2,CABA,2023,Dengue,6,De 10 a 14 años,1,1,2005
140,San Fernando,22,Chaco,2023,Dengue,8,De 20 a 24 años,1,1,22140
28,Capital,54,Misiones,2023,Dengue,11,De 45 a 65 años,1,1,54028
140,San Fernando,22,Chaco,2023,Dengue,5,De 5 a 9 años,1,2,22140
9,COMUNA 9,2,CABA,2023,Dengue,11,De 45 a 65 años,1,1,2009
140,San Fernando,22,Chaco,2023,Dengue,10,De 35 a 44 años,1,2,22140
515,Malvinas Argentinas,6,Buenos Aires,2023,Dengue,12,Mayores de 65 años,1,1,6515
4,COMUNA 4,2,CABA,2023,Dengue,5,De 5 a 9 años,1,1,2004
5,COMUNA 5,2,CABA,2023,Dengue,11,De 45 a 65 años,1,1,2005
77,Libertad,22,Chaco,2023,Dengue,10,De 35 a 44 años,1,1,22077
140,San Fernando,22,Chaco,2023,Dengue,9,De 25 a 34 años,1,6,22140
98,Río Cuarto,14,Córdoba,2023,Dengue,11,De 45 a 65 años,1,1,14098
28,Avellaneda,86,Santiago del Estero,2023,Dengue,9,De 25 a 34 años,1,1,86028
140,San Fernando,22,Chaco,2023,Dengue,11,De 45 a 65 años,1,3,22140
28,Guaymallén,50,Mendoza,2023,Dengue,10,De 35 a 44 años,1,1,50028
28,Capital,54,Misiones,2023,Dengue,9,De 25 a 34 años,1,1,54028
13,COMUNA 13,2,CABA,2023,Dengue,9,De 25 a 34 años,1,1,2013
412,José C. Paz,6,Buenos Aires,2023,Dengue,8,De 20 a 24 años,1,1,6412
21,Comandante Fernández,22,Chaco,2023,Dengue,2,Posneonato (29 hasta 365 días),1,1,22021
999,desconocido,99,desconocida,2023,Dengue,11,De 45 a 65 años,1,1,99999
14,Capital,14,Córdoba,2023,Dengue,10,De 35 a 44 años,1,1,14014
140,San Fernando,22,Chaco,2023,Dengue,6,De 10 a 14 años,1,1,22140
1,COMUNA 1,2,CABA,2023,Dengue,12,Mayores de 65 años,2,1,2001
