anio,provincia_nombre,departamento_nombre,poblacion
2010,BUENOS AIRES,25 DE MAYO,72298.0
2010,BUENOS AIRES,9 DE JULIO,96300.0
2010,BUENOS AIRES,ADOLFO ALSINA,34444.0
2010,BUENOS AIRES,ADOLFO GONZALES CHAVES,24336.0
2010,BUENOS AIRES,ALBERTI,21492.0
2010,BUENOS AIRES,ALMIRANTE BROWN,1114050.0
2010,BUENOS AIRES,ARRECIFES,58504.0
2010,BUENOS AIRES,AVELLANEDA,691504.0
2010,BUENOS AIRES,AYACUCHO,41010.0
2010,BUENOS AIRES,AZUL,131672.0
2010,BUENOS AIRES,BAHIA BLANCA,608412.0
2010,BUENOS AIRES,BALCARCE,88380.0
2010,BUENOS AIRES,BARADERO,65938.0
2010,BUENOS AIRES,BENITO JUAREZ,40858.0
2010,BUENOS AIRES,BERAZATEGUI,652218.0
2010,BUENOS AIRES,BERISSO,178140.0
2010,BUENOS AIRES,BOLIVAR,68936.0
2010,BUENOS AIRES,BRAGADO,83420.0
2010,BUENOS AIRES,BRANDSEN,52960.0
2010,BUENOS AIRES,CAMPANA,190082.0
2010,BUENOS AIRES,CANUELAS,104118.0
2010,BUENOS AIRES,CAPITAN SARMIENTO,29152.0
2010,BUENOS AIRES,CARLOS CASARES,44814.0
2010,BUENOS AIRES,CARLOS TEJEDOR,23360.0
2010,BUENOS AIRES,CARMEN DE ARECO,29618.0
2010,BUENOS AIRES,CASTELLI,16540.0
2010,BUENOS AIRES,CHACABUCO,98104.0
2010,BUENOS AIRES,CHASCOMUS,85096.0
2010,BUENOS AIRES,CHIVILCOY,129342.0
2010,BUENOS AIRES,COLON,50126.0
2010,BUENOS AIRES,CORONEL DE MARINA LEONARDO ROSALES,125424.0
2010,BUENOS AIRES,CORONEL DORREGO,31996.0
2010,BUENOS AIRES,CORONEL PRINGLES,46358.0
2010,BUENOS AIRES,CORONEL SUAREZ,77256.0
2010,BUENOS AIRES,DAIREAUX,34026.0
2010,BUENOS AIRES,DOLORES,54502.0
2010,BUENOS AIRES,ENSENADA,114246.0
2010,BUENOS AIRES,ESCOBAR,430512.0
2010,BUENOS AIRES,ESTEBAN ECHEVERRIA,601570.0
2010,BUENOS AIRES,EXALTACION DE LA CRUZ,59776.0
2010,BUENOS AIRES,EZEIZA,326574.0
2010,BUENOS AIRES,FLORENCIO VARELA,853476.0
2010,BUENOS AIRES,FLORENTINO AMEGHINO,17864.0
2010,BUENOS AIRES,GENERAL ALVARADO,79674.0
2010,BUENOS AIRES,GENERAL ALVEAR,22468.0
2010,BUENOS AIRES,GENERAL ARENALES,30084.0
2010,BUENOS AIRES,GENERAL BELGRANO,34948.0
2010,BUENOS AIRES,GENERAL GUIDO,5682.0
2010,BUENOS AIRES,GENERAL JUAN MADARIAGA,39760.0
2010,BUENOS AIRES,GENERAL LA MADRID,21784.0
2010,BUENOS AIRES,GENERAL LAS HERAS,29910.0
2010,BUENOS AIRES,GENERAL LAVALLE,7426.0
2010,BUENOS AIRES,GENERAL PAZ,22588.0
2010,BUENOS AIRES,GENERAL PINTO,22726.0
2010,BUENOS AIRES,GENERAL PUEYRREDON,1248776.0
2010,BUENOS AIRES,GENERAL RODRIGUEZ,174678.0
2010,BUENOS AIRES,GENERAL SAN MARTIN,836034.0
2010,BUENOS AIRES,GENERAL VIAMONTE,36464.0
2010,BUENOS AIRES,GENERAL VILLEGAS,62184.0
2010,BUENOS AIRES,GUAMINI,23836.0
2010,BUENOS AIRES,HIPOLITO YRIGOYEN,19314.0
2010,BUENOS AIRES,HURLINGHAM,365208.0
2010,BUENOS AIRES,ITUZAINGO,338076.0
2010,BUENOS AIRES,JOSE C. PAZ,534550.0
2010,BUENOS AIRES,JUNIN,182384.0
2010,BUENOS AIRES,LA COSTA,140066.0
2010,BUENOS AIRES,LA MATANZA,3555060.0
2010,BUENOS AIRES,LA PLATA,1319150.0
2010,BUENOS AIRES,LANUS,927110.0
2010,BUENOS AIRES,LAPRIDA,20574.0
2010,BUENOS AIRES,LAS FLORES,48174.0
2010,BUENOS AIRES,LEANDRO N. ALEM,33884.0
2010,BUENOS AIRES,LINCOLN,84408.0
2010,BUENOS AIRES,LOBERIA,35342.0
2010,BUENOS AIRES,LOBOS,72808.0
2010,BUENOS AIRES,LOMAS DE ZAMORA,1242880.0
2010,BUENOS AIRES,LUJAN,213772.0
2010,BUENOS AIRES,MAGDALENA,37848.0
2010,BUENOS AIRES,MAIPU,20510.0
2010,BUENOS AIRES,MALVINAS ARGENTINAS,648716.0
2010,BUENOS AIRES,MAR CHIQUITA,42722.0
2010,BUENOS AIRES,MARCOS PAZ,108674.0
2010,BUENOS AIRES,MERCEDES,127518.0
2010,BUENOS AIRES,MERLO,1063218.0
2010,BUENOS AIRES,MONTE,42222.0
2010,BUENOS AIRES,MONTE HERMOSO,13068.0
2010,BUENOS AIRES,MORENO,908832.0
2010,BUENOS AIRES,MORON,648558.0
2010,BUENOS AIRES,NAVARRO,34368.0
2010,BUENOS AIRES,NECOCHEA,187460.0
2010,BUENOS AIRES,OLAVARRIA,225068.0
2010,BUENOS AIRES,PARTIDO,4020.0
2010,BUENOS AIRES,PATAGONES,60892.0
2010,BUENOS AIRES,PEHUAJO,80218.0
2010,BUENOS AIRES,PELLEGRINI,11826.0
