provincia_nombre,departamento_nombre,anio,poblacion,tiene_poblacion,poblacion_valida,estado,observaciones
BUENOS AIRES,25 DE MAYO,2010,72298,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2011,72494,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2012,72686,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2013,72878,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2014,73066,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2015,73254,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2016,73436,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2017,73616,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2018,73794,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2019,73970,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2020,74142,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2021,74312,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2022,74480,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2023,74646,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2024,74810,True,True,OK,Datos válidos
BUENOS AIRES,25 DE MAYO,2025,74970,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2010,96300,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2011,96434,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2012,96566,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2013,96694,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2014,96826,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2015,96950,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2016,97078,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2017,97202,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2018,97322,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2019,97442,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2020,97560,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2021,97676,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2022,97792,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2023,97904,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2024,98016,True,True,OK,Datos válidos
BUENOS AIRES,9 DE JULIO,2025,98126,True,True,OK,Datos válidos
BUENOS AIRES,ADOLFO ALSINA,2010,34444,True,True,OK,Datos válidos
BUENOS AIRES,ADOLFO ALSINA,2011,34498,True,True,OK,Datos válidos
BUENOS AIRES,ADOLFO ALSINA,2012,34552,True,True,OK,Datos válidos
