departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original
comuna 3,2,ciudad de buenos aires,2018,15,dengue,6,de 15 a 19 anos,1,comuna 3,ciudad de buenos aires,2
comuna 4,2,ciudad de buenos aires,2018,6,dengue,6,de 15 a 19 anos,1,comuna 4,ciudad de buenos aires,3
berazategui,6,buenos aires,2018,11,dengue,7,de 20 a 24 anos,1,berazategui,buenos aires,4
berazategui,6,buenos aires,2018,14,dengue,9,de 35 a 44 anos,2,berazategui,buenos aires,5
berazategui,6,buenos aires,2018,19,dengue,11,mayores de 65 anos,1,berazategui,buenos aires,6
berazategui,6,buenos aires,2018,21,dengue,9,de 35 a 44 anos,1,berazategui,buenos aires,7
la matanza,6,buenos aires,2018,12,dengue,6,de 15 a 19 anos,1,la matanza,buenos aires,8
la matanza,6,buenos aires,2018,16,dengue,6,de 15 a 19 anos,1,la matanza,buenos aires,9
la plata,6,buenos aires,2018,14,dengue,11,mayores de 65 anos,1,la plata,buenos aires,10
guaymallen,50,mendoza,2018,23,dengue,10,de 45 a 65 anos,1,guaymallen,mendoza,11
9 de julio,82,santa fe,2018,20,dengue,6,de 15 a 19 anos,1,9 de julio,santa fe,12
9 de julio,82,santa fe,2018,23,dengue,9,de 35 a 44 anos,1,9 de julio,santa fe,13
comuna 1,2,ciudad de buenos aires,2018,16,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,14
comuna 1,2,ciudad de buenos aires,2018,17,dengue,9,de 35 a 44 anos,1,comuna 1,ciudad de buenos aires,15
comuna 1,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,16
comuna 2,2,ciudad de buenos aires,2018,10,dengue,10,de 45 a 65 anos,1,comuna 2,ciudad de buenos aires,17
comuna 2,2,ciudad de buenos aires,2018,18,dengue,8,de 25 a 34 anos,1,comuna 2,ciudad de buenos aires,18
comuna 3,2,ciudad de buenos aires,2018,8,dengue,10,de 45 a 65 anos,1,comuna 3,ciudad de buenos aires,19
comuna 3,2,ciudad de buenos aires,2018,9,dengue,9,de 35 a 44 anos,1,comuna 3,ciudad de buenos aires,20
comuna 3,2,ciudad de buenos aires,2018,9,dengue,11,mayores de 65 anos,2,comuna 3,ciudad de buenos aires,21
comuna 3,2,ciudad de buenos aires,2018,10,dengue,7,de 20 a 24 anos,1,comuna 3,ciudad de buenos aires,22
comuna 3,2,ciudad de buenos aires,2018,11,dengue,11,mayores de 65 anos,2,comuna 3,ciudad de buenos aires,23
comuna 3,2,ciudad de buenos aires,2018,12,dengue,10,de 45 a 65 anos,2,comuna 3,ciudad de buenos aires,24
comuna 3,2,ciudad de buenos aires,2018,12,dengue,11,mayores de 65 anos,2,comuna 3,ciudad de buenos aires,25
comuna 3,2,ciudad de buenos aires,2018,13,dengue,11,mayores de 65 anos,1,comuna 3,ciudad de buenos aires,26
comuna 3,2,ciudad de buenos aires,2018,14,dengue,7,de 20 a 24 anos,1,comuna 3,ciudad de buenos aires,27
comuna 3,2,ciudad de buenos aires,2018,15,dengue,11,mayores de 65 anos,1,comuna 3,ciudad de buenos aires,28
comuna 3,2,ciudad de buenos aires,2018,16,dengue,5,de 10 a 14 anos,3,comuna 3,ciudad de buenos aires,29
comuna 3,2,ciudad de buenos aires,2018,17,dengue,8,de 25 a 34 anos,1,comuna 3,ciudad de buenos aires,30
comuna 3,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,1,comuna 3,ciudad de buenos aires,31
comuna 4,2,ciudad de buenos aires,2018,6,dengue,5,de 10 a 14 anos,1,comuna 4,ciudad de buenos aires,32
comuna 4,2,ciudad de buenos aires,2018,8,dengue,9,de 35 a 44 anos,1,comuna 4,ciudad de buenos aires,33
comuna 4,2,ciudad de buenos aires,2018,8,dengue,10,de 45 a 65 anos,1,comuna 4,ciudad de buenos aires,34
comuna 4,2,ciudad de buenos aires,2018,9,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,35
comuna 4,2,ciudad de buenos aires,2018,10,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,36
comuna 4,2,ciudad de buenos aires,2018,10,dengue,9,de 35 a 44 anos,1,comuna 4,ciudad de buenos aires,37
comuna 4,2,ciudad de buenos aires,2018,10,dengue,10,de 45 a 65 anos,1,comuna 4,ciudad de buenos aires,38
comuna 4,2,ciudad de buenos aires,2018,11,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,39
comuna 4,2,ciudad de buenos aires,2018,12,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,40
comuna 4,2,ciudad de buenos aires,2018,12,dengue,9,de 35 a 44 anos,2,comuna 4,ciudad de buenos aires,41
comuna 4,2,ciudad de buenos aires,2018,12,dengue,10,de 45 a 65 anos,1,comuna 4,ciudad de buenos aires,42
comuna 4,2,ciudad de buenos aires,2018,13,dengue,7,de 20 a 24 anos,4,comuna 4,ciudad de buenos aires,43
comuna 4,2,ciudad de buenos aires,2018,13,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,44
