departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original
general belgrano,2,chaco,2020,3.0,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,2
general belgrano,2,chaco,2020,5.0,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,3
general belgrano,2,chaco,2020,5.0,dengue,9,de 35 a 44 anos,1,comuna 1,ciudad de buenos aires,4
general belgrano,2,chaco,2020,5.0,dengue,10,de 45 a 65 anos,2,comuna 1,ciudad de buenos aires,5
general belgrano,2,chaco,2020,6.0,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,6
general belgrano,2,chaco,2020,6.0,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,7
general belgrano,2,chaco,2020,6.0,dengue,9,de 35 a 44 anos,2,comuna 1,ciudad de buenos aires,8
general belgrano,2,chaco,2020,6.0,dengue,10,de 45 a 65 anos,2,comuna 1,ciudad de buenos aires,9
general belgrano,2,chaco,2020,6.0,dengue,4,de 5 a 9 anos,1,comuna 1,ciudad de buenos aires,10
general belgrano,2,chaco,2020,7.0,dengue,5,de 10 a 14 anos,1,comuna 1,ciudad de buenos aires,11
general belgrano,2,chaco,2020,7.0,dengue,3,de 2 a 4 anos,1,comuna 1,ciudad de buenos aires,12
general belgrano,2,chaco,2020,7.0,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,13
general belgrano,2,chaco,2020,7.0,dengue,9,de 35 a 44 anos,2,comuna 1,ciudad de buenos aires,14
general belgrano,2,chaco,2020,7.0,dengue,10,de 45 a 65 anos,3,comuna 1,ciudad de buenos aires,15
general belgrano,2,chaco,2020,8.0,dengue,5,de 10 a 14 anos,1,comuna 1,ciudad de buenos aires,16
general belgrano,2,chaco,2020,8.0,dengue,6,de 15 a 19 anos,6,comuna 1,ciudad de buenos aires,17
general belgrano,2,chaco,2020,8.0,dengue,7,de 20 a 24 anos,5,comuna 1,ciudad de buenos aires,18
general belgrano,2,chaco,2020,8.0,dengue,8,de 25 a 34 anos,7,comuna 1,ciudad de buenos aires,19
general belgrano,2,chaco,2020,8.0,dengue,9,de 35 a 44 anos,8,comuna 1,ciudad de buenos aires,20
general belgrano,2,chaco,2020,8.0,dengue,10,de 45 a 65 anos,12,comuna 1,ciudad de buenos aires,21
general belgrano,2,chaco,2020,8.0,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,22
general belgrano,2,chaco,2020,9.0,dengue,5,de 10 a 14 anos,2,comuna 1,ciudad de buenos aires,23
general belgrano,2,chaco,2020,9.0,dengue,6,de 15 a 19 anos,4,comuna 1,ciudad de buenos aires,24
general belgrano,2,chaco,2020,9.0,dengue,7,de 20 a 24 anos,10,comuna 1,ciudad de buenos aires,25
general belgrano,2,chaco,2020,9.0,dengue,8,de 25 a 34 anos,14,comuna 1,ciudad de buenos aires,26
general belgrano,2,chaco,2020,9.0,dengue,9,de 35 a 44 anos,16,comuna 1,ciudad de buenos aires,27
general belgrano,2,chaco,2020,9.0,dengue,10,de 45 a 65 anos,18,comuna 1,ciudad de buenos aires,28
general belgrano,2,chaco,2020,9.0,dengue,4,de 5 a 9 anos,5,comuna 1,ciudad de buenos aires,29
general belgrano,2,chaco,2020,9.0,dengue,11,mayores de 65 anos,14,comuna 1,ciudad de buenos aires,30
general belgrano,2,chaco,2020,10.0,dengue,5,de 10 a 14 anos,16,comuna 1,ciudad de buenos aires,31
general belgrano,2,chaco,2020,10.0,dengue,6,de 15 a 19 anos,19,comuna 1,ciudad de buenos aires,32
general belgrano,2,chaco,2020,10.0,dengue,3,de 2 a 4 anos,1,comuna 1,ciudad de buenos aires,33
general belgrano,2,chaco,2020,10.0,dengue,7,de 20 a 24 anos,14,comuna 1,ciudad de buenos aires,34
