departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
2003,comuna 3,2,caba,2018,15,dengue,6,de 15 a 19 anos,1
2004,comuna 4,2,caba,2018,6,dengue,6,de 15 a 19 anos,1
6091,berazategui,6,buenos aires,2018,11,dengue,7,de 20 a 24 anos,1
6091,berazategui,6,buenos aires,2018,14,dengue,9,de 35 a 44 anos,2
6091,berazategui,6,buenos aires,2018,19,dengue,11,mayores de 65 anos,1
6091,berazategui,6,buenos aires,2018,21,dengue,9,de 35 a 44 anos,1
6427,la matanza,6,buenos aires,2018,12,dengue,6,de 15 a 19 anos,1
6427,la matanza,6,buenos aires,2018,16,dengue,6,de 15 a 19 anos,1
6441,la plata,6,buenos aires,2018,14,dengue,11,mayores de 65 anos,1
50028,guaymallen,50,mendoza,2018,23,dengue,10,de 45 a 65 anos,1
82077,9 de julio,82,santa fe,2018,20,dengue,6,de 15 a 19 anos,1
82077,9 de julio,82,santa fe,2018,23,dengue,9,de 35 a 44 anos,1
2001,comuna 1,2,caba,2018,16,dengue,11,mayores de 65 anos,1
2001,comuna 1,2,caba,2018,17,dengue,9,de 35 a 44 anos,1
2001,comuna 1,2,caba,2018,18,dengue,10,de 45 a 65 anos,1
2002,comuna 2,2,caba,2018,10,dengue,10,de 45 a 65 anos,1
2002,comuna 2,2,caba,2018,18,dengue,8,de 25 a 34 anos,1
2003,comuna 3,2,caba,2018,8,dengue,10,de 45 a 65 anos,1
2003,comuna 3,2,caba,2018,9,dengue,9,de 35 a 44 anos,1
2003,comuna 3,2,caba,2018,9,dengue,11,mayores de 65 anos,2
2003,comuna 3,2,caba,2018,10,dengue,7,de 20 a 24 anos,1
2003,comuna 3,2,caba,2018,11,dengue,11,mayores de 65 anos,2
2003,comuna 3,2,caba,2018,12,dengue,10,de 45 a 65 anos,2
2003,comuna 3,2,caba,2018,12,dengue,11,mayores de 65 anos,2
2003,comuna 3,2,caba,2018,13,dengue,11,mayores de 65 anos,1
2003,comuna 3,2,caba,2018,14,dengue,7,de 20 a 24 anos,1
2003,comuna 3,2,caba,2018,15,dengue,11,mayores de 65 anos,1
2003,comuna 3,2,caba,2018,16,dengue,5,de 10 a 14 anos,3
2003,comuna 3,2,caba,2018,17,dengue,8,de 25 a 34 anos,1
2003,comuna 3,2,caba,2018,18,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,6,dengue,5,de 10 a 14 anos,1
2004,comuna 4,2,caba,2018,8,dengue,9,de 35 a 44 anos,1
2004,comuna 4,2,caba,2018,8,dengue,10,de 45 a 65 anos,1
2004,comuna 4,2,caba,2018,9,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,10,dengue,7,de 20 a 24 anos,1
2004,comuna 4,2,caba,2018,10,dengue,9,de 35 a 44 anos,1
2004,comuna 4,2,caba,2018,10,dengue,10,de 45 a 65 anos,1
2004,comuna 4,2,caba,2018,11,dengue,7,de 20 a 24 anos,1
2004,comuna 4,2,caba,2018,12,dengue,7,de 20 a 24 anos,1
2004,comuna 4,2,caba,2018,12,dengue,9,de 35 a 44 anos,2
2004,comuna 4,2,caba,2018,12,dengue,10,de 45 a 65 anos,1
2004,comuna 4,2,caba,2018,13,dengue,7,de 20 a 24 anos,4
2004,comuna 4,2,caba,2018,13,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,14,dengue,6,de 15 a 19 anos,1
2004,comuna 4,2,caba,2018,14,dengue,7,de 20 a 24 anos,1
2004,comuna 4,2,caba,2018,14,dengue,10,de 45 a 65 anos,3
2004,comuna 4,2,caba,2018,14,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,15,dengue,7,de 20 a 24 anos,1
2004,comuna 4,2,caba,2018,15,dengue,7,de 20 a 24 anos,2
2004,comuna 4,2,caba,2018,15,dengue,10,de 45 a 65 anos,1
2004,comuna 4,2,caba,2018,15,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,15,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,16,dengue,2,de 13 a 24 meses,1
2004,comuna 4,2,caba,2018,16,dengue,5,de 10 a 14 anos,3
2004,comuna 4,2,caba,2018,16,dengue,6,de 15 a 19 anos,1
2004,comuna 4,2,caba,2018,16,dengue,7,de 20 a 24 anos,2
2004,comuna 4,2,caba,2018,16,dengue,8,de 25 a 34 anos,1
2004,comuna 4,2,caba,2018,16,dengue,10,de 45 a 65 anos,2
2004,comuna 4,2,caba,2018,16,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,16,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,17,dengue,5,de 10 a 14 anos,1
2004,comuna 4,2,caba,2018,17,dengue,6,de 15 a 19 anos,2
2004,comuna 4,2,caba,2018,17,dengue,8,de 25 a 34 anos,2
2004,comuna 4,2,caba,2018,17,dengue,9,de 35 a 44 anos,3
2004,comuna 4,2,caba,2018,17,dengue,11,mayores de 65 anos,1
2004,comuna 4,2,caba,2018,18,dengue,6,de 15 a 19 anos,5
2004,comuna 4,2,caba,2018,18,dengue,8,de 25 a 34 anos,3
2004,comuna 4,2,caba,2018,18,dengue,9,de 35 a 44 anos,2
2004,comuna 4,2,caba,2018,18,dengue,10,de 45 a 65 anos,4
2004,comuna 4,2,caba,2018,18,dengue,11,mayores de 65 anos,2
2004,comuna 4,2,caba,2018,19,dengue,5,de 10 a 14 anos,1
2004,comuna 4,2,caba,2018,19,dengue,8,de 25 a 34 anos,1
2004,comuna 4,2,caba,2018,19,dengue,10,de 45 a 65 anos,2
2004,comuna 4,2,caba,2018,21,dengue,11,mayores de 65 anos,2
2004,comuna 4,2,caba,2018,24,dengue,6,de 15 a 19 anos,1
2005,comuna 5,2,caba,2018,11,dengue,10,de 45 a 65 anos,1
2005,comuna 5,2,caba,2018,23,dengue,8,de 25 a 34 anos,1
2006,comuna 6,2,caba,2018,13,dengue,11,mayores de 65 anos,1
2006,comuna 6,2,caba,2018,19,dengue,10,de 45 a 65 anos,1
2007,comuna 7,2,caba,2018,17,dengue,9,de 35 a 44 anos,1
2007,comuna 7,2,caba,2018,18,dengue,9,de 35 a 44 anos,1
2007,comuna 7,2,caba,2018,18,dengue,10,de 45 a 65 anos,1
2008,comuna 8,2,caba,2018,12,dengue,1,posneonato 29 hasta 365 dias,1
2008,comuna 8,2,caba,2018,15,dengue,10,de 45 a 65 anos,1
2008,comuna 8,2,caba,2018,18,dengue,6,de 15 a 19 anos,1
2008,comuna 8,2,caba,2018,18,dengue,10,de 45 a 65 anos,1
2008,comuna 8,2,caba,2018,18,dengue,11,mayores de 65 anos,1
2008,comuna 8,2,caba,2018,18,dengue,11,mayores de 65 anos,1
2008,comuna 8,2,caba,2018,19,dengue,4,de 5 a 9 anos,1
2009,comuna 9,2,caba,2018,5,dengue,7,de 20 a 24 anos,1
2009,comuna 9,2,caba,2018,18,dengue,10,de 45 a 65 anos,1
2009,comuna 9,2,caba,2018,18,dengue,11,mayores de 65 anos,1
2010,comuna 10,2,caba,2018,16,dengue,4,de 5 a 9 anos,1
2010,comuna 10,2,caba,2018,18,dengue,5,de 10 a 14 anos,1
2010,comuna 10,2,caba,2018,18,dengue,6,de 15 a 19 anos,1
2012,comuna 12,2,caba,2018,11,dengue,7,de 20 a 24 anos,1
2012,comuna 12,2,caba,2018,11,dengue,11,mayores de 65 anos,1
2012,comuna 12,2,caba,2018,13,dengue,11,mayores de 65 anos,1
2012,comuna 12,2,caba,2018,17,dengue,11,mayores de 65 anos,1
2012,comuna 12,2,caba,2018,19,dengue,9,de 35 a 44 anos,1
2014,comuna 14,2,caba,2018,38,dengue,9,de 35 a 44 anos,1
2015,comuna 15,2,caba,2018,9,dengue,10,de 45 a 65 anos,1
2015,comuna 15,2,caba,2018,12,dengue,11,mayores de 65 anos,1
2015,comuna 15,2,caba,2018,15,dengue,11,mayores de 65 anos,1
2015,comuna 15,2,caba,2018,16,dengue,9,de 35 a 44 anos,1
2015,comuna 15,2,caba,2018,17,dengue,11,mayores de 65 anos,1
2015,comuna 15,2,caba,2018,18,dengue,7,de 20 a 24 anos,1
6028,almirante brown,6,buenos aires,2018,16,dengue,11,mayores de 65 anos,1
6028,almirante brown,6,buenos aires,2018,18,dengue,11,mayores de 65 anos,1
6028,almirante brown,6,buenos aires,2018,19,dengue,10,de 45 a 65 anos,1
6035,avellaneda,6,buenos aires,2018,7,dengue,7,de 20 a 24 anos,1
6035,avellaneda,6,buenos aires,2018,7,dengue,11,mayores de 65 anos,1
6035,avellaneda,6,buenos aires,2018,9,dengue,6,de 15 a 19 anos,1
6035,avellaneda,6,buenos aires,2018,9,dengue,7,de 20 a 24 anos,1
