departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020
comuna 3,2,ciudad de buenos aires,2018,15,dengue,6,de 15 a 19 anos,1,comuna 3,ciudad de buenos aires,2,2003
comuna 4,2,ciudad de buenos aires,2018,6,dengue,6,de 15 a 19 anos,1,comuna 4,ciudad de buenos aires,3,2004
berazategui,6,buenos aires,2018,11,dengue,7,de 20 a 24 anos,1,berazategui,buenos aires,4,6091
berazategui,6,buenos aires,2018,14,dengue,9,de 35 a 44 anos,2,berazategui,buenos aires,5,6091
berazategui,6,buenos aires,2018,19,dengue,11,mayores de 65 anos,1,berazategui,buenos aires,6,6091
berazategui,6,buenos aires,2018,21,dengue,9,de 35 a 44 anos,1,berazategui,buenos aires,7,6091
la matanza,6,buenos aires,2018,12,dengue,6,de 15 a 19 anos,1,la matanza,buenos aires,8,6427
la matanza,6,buenos aires,2018,16,dengue,6,de 15 a 19 anos,1,la matanza,buenos aires,9,6427
la plata,6,buenos aires,2018,14,dengue,11,mayores de 65 anos,1,la plata,buenos aires,10,6441
guaymallen,50,mendoza,2018,23,dengue,10,de 45 a 65 anos,1,guaymallen,mendoza,11,50028
9 de julio,82,santa fe,2018,20,dengue,6,de 15 a 19 anos,1,9 de julio,santa fe,12,82077
9 de julio,82,santa fe,2018,23,dengue,9,de 35 a 44 anos,1,9 de julio,santa fe,13,82077
comuna 1,2,ciudad de buenos aires,2018,16,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,14,2001
comuna 1,2,ciudad de buenos aires,2018,17,dengue,9,de 35 a 44 anos,1,comuna 1,ciudad de buenos aires,15,2001
comuna 1,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,16,2001
comuna 2,2,ciudad de buenos aires,2018,10,dengue,10,de 45 a 65 anos,1,comuna 2,ciudad de buenos aires,17,2002
comuna 2,2,ciudad de buenos aires,2018,18,dengue,8,de 25 a 34 anos,1,comuna 2,ciudad de buenos aires,18,2002
comuna 3,2,ciudad de buenos aires,2018,8,dengue,10,de 45 a 65 anos,1,comuna 3,ciudad de buenos aires,19,2003
comuna 3,2,ciudad de buenos aires,2018,9,dengue,9,de 35 a 44 anos,1,comuna 3,ciudad de buenos aires,20,2003
comuna 3,2,ciudad de buenos aires,2018,9,dengue,11,mayores de 65 anos,2,comuna 3,ciudad de buenos aires,21,2003
comuna 3,2,ciudad de buenos aires,2018,10,dengue,7,de 20 a 24 anos,1,comuna 3,ciudad de buenos aires,22,2003
comuna 3,2,ciudad de buenos aires,2018,11,dengue,11,mayores de 65 anos,2,comuna 3,ciudad de buenos aires,23,2003
comuna 3,2,ciudad de buenos aires,2018,12,dengue,10,de 45 a 65 anos,2,comuna 3,ciudad de buenos aires,24,2003
comuna 3,2,ciudad de buenos aires,2018,12,dengue,11,mayores de 65 anos,2,comuna 3,ciudad de buenos aires,25,2003
comuna 3,2,ciudad de buenos aires,2018,13,dengue,11,mayores de 65 anos,1,comuna 3,ciudad de buenos aires,26,2003
comuna 3,2,ciudad de buenos aires,2018,14,dengue,7,de 20 a 24 anos,1,comuna 3,ciudad de buenos aires,27,2003
comuna 3,2,ciudad de buenos aires,2018,15,dengue,11,mayores de 65 anos,1,comuna 3,ciudad de buenos aires,28,2003
comuna 3,2,ciudad de buenos aires,2018,16,dengue,5,de 10 a 14 anos,3,comuna 3,ciudad de buenos aires,29,2003
comuna 3,2,ciudad de buenos aires,2018,17,dengue,8,de 25 a 34 anos,1,comuna 3,ciudad de buenos aires,30,2003
comuna 3,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,1,comuna 3,ciudad de buenos aires,31,2003
comuna 4,2,ciudad de buenos aires,2018,6,dengue,5,de 10 a 14 anos,1,comuna 4,ciudad de buenos aires,32,2004
comuna 4,2,ciudad de buenos aires,2018,8,dengue,9,de 35 a 44 anos,1,comuna 4,ciudad de buenos aires,33,2004
comuna 4,2,ciudad de buenos aires,2018,8,dengue,10,de 45 a 65 anos,1,comuna 4,ciudad de buenos aires,34,2004
comuna 4,2,ciudad de buenos aires,2018,9,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,35,2004
comuna 4,2,ciudad de buenos aires,2018,10,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,36,2004
comuna 4,2,ciudad de buenos aires,2018,10,dengue,9,de 35 a 44 anos,1,comuna 4,ciudad de buenos aires,37,2004
comuna 4,2,ciudad de buenos aires,2018,10,dengue,10,de 45 a 65 anos,1,comuna 4,ciudad de buenos aires,38,2004
comuna 4,2,ciudad de buenos aires,2018,11,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,39,2004
comuna 4,2,ciudad de buenos aires,2018,12,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,40,2004
comuna 4,2,ciudad de buenos aires,2018,12,dengue,9,de 35 a 44 anos,2,comuna 4,ciudad de buenos aires,41,2004
comuna 4,2,ciudad de buenos aires,2018,12,dengue,10,de 45 a 65 anos,1,comuna 4,ciudad de buenos aires,42,2004
comuna 4,2,ciudad de buenos aires,2018,13,dengue,7,de 20 a 24 anos,4,comuna 4,ciudad de buenos aires,43,2004
comuna 4,2,ciudad de buenos aires,2018,13,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,44,2004
comuna 4,2,ciudad de buenos aires,2018,14,dengue,6,de 15 a 19 anos,1,comuna 4,ciudad de buenos aires,45,2004
comuna 4,2,ciudad de buenos aires,2018,14,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,46,2004
comuna 4,2,ciudad de buenos aires,2018,14,dengue,10,de 45 a 65 anos,3,comuna 4,ciudad de buenos aires,47,2004
comuna 4,2,ciudad de buenos aires,2018,14,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,48,2004
comuna 4,2,ciudad de buenos aires,2018,15,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,49,2004
comuna 4,2,ciudad de buenos aires,2018,15,dengue,7,de 20 a 24 anos,2,comuna 4,ciudad de buenos aires,50,2004
comuna 4,2,ciudad de buenos aires,2018,15,dengue,10,de 45 a 65 anos,1,comuna 4,ciudad de buenos aires,51,2004
comuna 4,2,ciudad de buenos aires,2018,15,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,52,2004
comuna 4,2,ciudad de buenos aires,2018,15,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,53,2004
comuna 4,2,ciudad de buenos aires,2018,16,dengue,2,de 13 a 24 meses,1,comuna 4,ciudad de buenos aires,54,2004
comuna 4,2,ciudad de buenos aires,2018,16,dengue,5,de 10 a 14 anos,3,comuna 4,ciudad de buenos aires,55,2004
comuna 4,2,ciudad de buenos aires,2018,16,dengue,6,de 15 a 19 anos,1,comuna 4,ciudad de buenos aires,56,2004
comuna 4,2,ciudad de buenos aires,2018,16,dengue,7,de 20 a 24 anos,2,comuna 4,ciudad de buenos aires,57,2004
comuna 4,2,ciudad de buenos aires,2018,16,dengue,8,de 25 a 34 anos,1,comuna 4,ciudad de buenos aires,58,2004
comuna 4,2,ciudad de buenos aires,2018,16,dengue,10,de 45 a 65 anos,2,comuna 4,ciudad de buenos aires,59,2004
comuna 4,2,ciudad de buenos aires,2018,16,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,60,2004
comuna 4,2,ciudad de buenos aires,2018,16,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,61,2004
comuna 4,2,ciudad de buenos aires,2018,17,dengue,5,de 10 a 14 anos,1,comuna 4,ciudad de buenos aires,62,2004
comuna 4,2,ciudad de buenos aires,2018,17,dengue,6,de 15 a 19 anos,2,comuna 4,ciudad de buenos aires,63,2004
comuna 4,2,ciudad de buenos aires,2018,17,dengue,8,de 25 a 34 anos,2,comuna 4,ciudad de buenos aires,64,2004
comuna 4,2,ciudad de buenos aires,2018,17,dengue,9,de 35 a 44 anos,3,comuna 4,ciudad de buenos aires,65,2004
comuna 4,2,ciudad de buenos aires,2018,17,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,66,2004
comuna 4,2,ciudad de buenos aires,2018,18,dengue,6,de 15 a 19 anos,5,comuna 4,ciudad de buenos aires,67,2004
