departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original
comuna 1,2,ciudad de buenos aires,2025,14,dengue,6,de 15 a 19 anos,1,comuna 1,ciudad de buenos aires,2
comuna 1,2,ciudad de buenos aires,2025,13,dengue,7,de 20 a 24 anos,1,comuna 1,ciudad de buenos aires,3
comuna 1,2,ciudad de buenos aires,2025,10,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,4
comuna 1,2,ciudad de buenos aires,2025,12,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,5
comuna 1,2,ciudad de buenos aires,2025,11,dengue,9,de 35 a 44 anos,2,comuna 1,ciudad de buenos aires,6
comuna 1,2,ciudad de buenos aires,2025,13,dengue,9,de 35 a 44 anos,2,comuna 1,ciudad de buenos aires,7
comuna 1,2,ciudad de buenos aires,2025,14,dengue,9,de 35 a 44 anos,1,comuna 1,ciudad de buenos aires,8
comuna 1,2,ciudad de buenos aires,2025,16,dengue,9,de 35 a 44 anos,2,comuna 1,ciudad de buenos aires,9
comuna 1,2,ciudad de buenos aires,2025,17,dengue,9,de 35 a 44 anos,1,comuna 1,ciudad de buenos aires,10
comuna 1,2,ciudad de buenos aires,2025,18,dengue,9,de 35 a 44 anos,1,comuna 1,ciudad de buenos aires,11
comuna 1,2,ciudad de buenos aires,2025,13,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,12
comuna 1,2,ciudad de buenos aires,2025,15,dengue,10,de 45 a 65 anos,2,comuna 1,ciudad de buenos aires,13
comuna 1,2,ciudad de buenos aires,2025,16,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,14
comuna 1,2,ciudad de buenos aires,2025,22,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,15
comuna 1,2,ciudad de buenos aires,2025,11,dengue,11,mayores de 65 anos,2,comuna 1,ciudad de buenos aires,16
comuna 1,2,ciudad de buenos aires,2025,12,dengue,11,mayores de 65 anos,3,comuna 1,ciudad de buenos aires,17
comuna 1,2,ciudad de buenos aires,2025,13,dengue,11,mayores de 65 anos,2,comuna 1,ciudad de buenos aires,18
comuna 1,2,ciudad de buenos aires,2025,14,dengue,11,mayores de 65 anos,4,comuna 1,ciudad de buenos aires,19
comuna 1,2,ciudad de buenos aires,2025,15,dengue,11,mayores de 65 anos,3,comuna 1,ciudad de buenos aires,20
comuna 1,2,ciudad de buenos aires,2025,17,dengue,11,mayores de 65 anos,3,comuna 1,ciudad de buenos aires,21
comuna 1,2,ciudad de buenos aires,2025,18,dengue,11,mayores de 65 anos,2,comuna 1,ciudad de buenos aires,22
comuna 1,2,ciudad de buenos aires,2025,19,dengue,11,mayores de 65 anos,2,comuna 1,ciudad de buenos aires,23
comuna 1,2,ciudad de buenos aires,2025,20,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,24
comuna 1,2,ciudad de buenos aires,2025,13,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,25
comuna 1,2,ciudad de buenos aires,2025,14,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,26
comuna 2,2,ciudad de buenos aires,2025,5,dengue,9,de 35 a 44 anos,1,comuna 2,ciudad de buenos aires,27
comuna 2,2,ciudad de buenos aires,2025,32,dengue,11,mayores de 65 anos,1,comuna 2,ciudad de buenos aires,28
comuna 3,2,ciudad de buenos aires,2025,16,dengue,9,de 35 a 44 anos,1,comuna 3,ciudad de buenos aires,29
comuna 3,2,ciudad de buenos aires,2025,9,dengue,10,de 45 a 65 anos,2,comuna 3,ciudad de buenos aires,30
comuna 3,2,ciudad de buenos aires,2025,20,dengue,10,de 45 a 65 anos,1,comuna 3,ciudad de buenos aires,31
comuna 4,2,ciudad de buenos aires,2025,15,dengue,9,de 35 a 44 anos,2,comuna 4,ciudad de buenos aires,32
comuna 4,2,ciudad de buenos aires,2025,17,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,33
comuna 5,2,ciudad de buenos aires,2025,15,dengue,8,de 25 a 34 anos,1,comuna 5,ciudad de buenos aires,34
comuna 5,2,ciudad de buenos aires,2025,8,dengue,10,de 45 a 65 anos,1,comuna 5,ciudad de buenos aires,35
comuna 6,2,ciudad de buenos aires,2025,14,dengue,5,de 10 a 14 anos,1,comuna 6,ciudad de buenos aires,36
comuna 6,2,ciudad de buenos aires,2025,13,dengue,7,de 20 a 24 anos,1,comuna 6,ciudad de buenos aires,37
comuna 6,2,ciudad de buenos aires,2025,21,dengue,7,de 20 a 24 anos,1,comuna 6,ciudad de buenos aires,38
comuna 6,2,ciudad de buenos aires,2025,14,dengue,9,de 35 a 44 anos,1,comuna 6,ciudad de buenos aires,39
comuna 6,2,ciudad de buenos aires,2025,12,dengue,10,de 45 a 65 anos,1,comuna 6,ciudad de buenos aires,40
comuna 6,2,ciudad de buenos aires,2025,12,dengue,11,mayores de 65 anos,1,comuna 6,ciudad de buenos aires,41
comuna 7,2,ciudad de buenos aires,2025,11,dengue,9,de 35 a 44 anos,1,comuna 7,ciudad de buenos aires,42
comuna 7,2,ciudad de buenos aires,2025,11,dengue,10,de 45 a 65 anos,1,comuna 7,ciudad de buenos aires,43
comuna 7,2,ciudad de buenos aires,2025,12,dengue,10,de 45 a 65 anos,1,comuna 7,ciudad de buenos aires,44
comuna 7,2,ciudad de buenos aires,2025,16,dengue,11,mayores de 65 anos,1,comuna 7,ciudad de buenos aires,45
comuna 8,2,ciudad de buenos aires,2025,10,dengue,11,mayores de 65 anos,1,comuna 8,ciudad de buenos aires,46
comuna 8,2,ciudad de buenos aires,2025,14,dengue,11,mayores de 65 anos,1,comuna 8,ciudad de buenos aires,47
comuna 9,2,ciudad de buenos aires,2025,13,dengue,6,de 15 a 19 anos,1,comuna 9,ciudad de buenos aires,48
comuna 9,2,ciudad de buenos aires,2025,15,dengue,9,de 35 a 44 anos,1,comuna 9,ciudad de buenos aires,49
comuna 9,2,ciudad de buenos aires,2025,11,dengue,10,de 45 a 65 anos,2,comuna 9,ciudad de buenos aires,50
comuna 9,2,ciudad de buenos aires,2025,16,dengue,11,mayores de 65 anos,1,comuna 9,ciudad de buenos aires,51
comuna 10,2,ciudad de buenos aires,2025,11,dengue,8,de 25 a 34 anos,1,comuna 10,ciudad de buenos aires,52
comuna 10,2,ciudad de buenos aires,2025,11,dengue,9,de 35 a 44 anos,1,comuna 10,ciudad de buenos aires,53
comuna 10,2,ciudad de buenos aires,2025,16,dengue,9,de 35 a 44 anos,1,comuna 10,ciudad de buenos aires,54
comuna 10,2,ciudad de buenos aires,2025,18,dengue,9,de 35 a 44 anos,1,comuna 10,ciudad de buenos aires,55
comuna 10,2,ciudad de buenos aires,2025,13,dengue,11,mayores de 65 anos,1,comuna 10,ciudad de buenos aires,56
comuna 11,2,ciudad de buenos aires,2025,8,dengue,6,de 15 a 19 anos,1,comuna 11,ciudad de buenos aires,57
comuna 11,2,ciudad de buenos aires,2025,12,dengue,6,de 15 a 19 anos,1,comuna 11,ciudad de buenos aires,58
comuna 11,2,ciudad de buenos aires,2025,14,dengue,6,de 15 a 19 anos,1,comuna 11,ciudad de buenos aires,59
comuna 11,2,ciudad de buenos aires,2025,13,dengue,7,de 20 a 24 anos,1,comuna 11,ciudad de buenos aires,60
comuna 11,2,ciudad de buenos aires,2025,11,dengue,8,de 25 a 34 anos,1,comuna 11,ciudad de buenos aires,61
comuna 11,2,ciudad de buenos aires,2025,6,dengue,9,de 35 a 44 anos,1,comuna 11,ciudad de buenos aires,62
comuna 11,2,ciudad de buenos aires,2025,7,dengue,9,de 35 a 44 anos,1,comuna 11,ciudad de buenos aires,63
comuna 11,2,ciudad de buenos aires,2025,10,dengue,9,de 35 a 44 anos,1,comuna 11,ciudad de buenos aires,64
comuna 11,2,ciudad de buenos aires,2025,12,dengue,9,de 35 a 44 anos,2,comuna 11,ciudad de buenos aires,65
comuna 11,2,ciudad de buenos aires,2025,13,dengue,9,de 35 a 44 anos,2,comuna 11,ciudad de buenos aires,66
comuna 11,2,ciudad de buenos aires,2025,14,dengue,9,de 35 a 44 anos,1,comuna 11,ciudad de buenos aires,67
