departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
comuna 5,2,ciudad de buenos aires,2019,3,dengue,6,de 15 a 19 anos,1,comuna 5,ciudad de buenos aires,2,2005,187348
comuna 1,2,ciudad de buenos aires,2019,7,dengue,6,de 15 a 19 anos,1,comuna 1,ciudad de buenos aires,3,2001,255457
comuna 1,2,ciudad de buenos aires,2019,7,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,4,2001,255457
comuna 14,2,ciudad de buenos aires,2019,8,dengue,10,de 45 a 65 anos,1,comuna 14,ciudad de buenos aires,5,2014,227060
comuna 10,2,ciudad de buenos aires,2019,9,dengue,9,de 35 a 44 anos,1,comuna 10,ciudad de buenos aires,6,2010,170497
comuna 14,2,ciudad de buenos aires,2019,11,dengue,10,de 45 a 65 anos,1,comuna 14,ciudad de buenos aires,7,2014,227060
comuna 9,2,ciudad de buenos aires,2019,11,dengue,6,de 15 a 19 anos,1,comuna 9,ciudad de buenos aires,8,2009,171062
comuna 14,2,ciudad de buenos aires,2019,12,dengue,10,de 45 a 65 anos,1,comuna 14,ciudad de buenos aires,9,2014,227060
comuna 3,2,ciudad de buenos aires,2019,13,dengue,10,de 45 a 65 anos,1,comuna 3,ciudad de buenos aires,10,2003,193115
comuna 9,2,ciudad de buenos aires,2019,13,dengue,10,de 45 a 65 anos,1,comuna 9,ciudad de buenos aires,11,2009,171062
comuna 10,2,ciudad de buenos aires,2019,14,dengue,10,de 45 a 65 anos,1,comuna 10,ciudad de buenos aires,12,2010,170497
comuna 9,2,ciudad de buenos aires,2019,14,dengue,7,de 20 a 24 anos,1,comuna 9,ciudad de buenos aires,13,2009,171062
comuna 10,2,ciudad de buenos aires,2019,15,dengue,10,de 45 a 65 anos,1,comuna 10,ciudad de buenos aires,14,2010,170497
comuna 14,2,ciudad de buenos aires,2019,15,dengue,8,de 25 a 34 anos,1,comuna 14,ciudad de buenos aires,15,2014,227060
comuna 15,2,ciudad de buenos aires,2019,15,dengue,9,de 35 a 44 anos,1,comuna 15,ciudad de buenos aires,16,2015,182445
comuna 9,2,ciudad de buenos aires,2019,15,dengue,6,de 15 a 19 anos,1,comuna 9,ciudad de buenos aires,17,2009,171062
comuna 9,2,ciudad de buenos aires,2019,16,dengue,10,de 45 a 65 anos,1,comuna 9,ciudad de buenos aires,18,2009,171062
comuna 9,2,ciudad de buenos aires,2019,17,dengue,10,de 45 a 65 anos,3,comuna 9,ciudad de buenos aires,19,2009,171062
comuna 14,2,ciudad de buenos aires,2019,19,dengue,10,de 45 a 65 anos,1,comuna 14,ciudad de buenos aires,20,2014,227060
comuna 9,2,ciudad de buenos aires,2019,21,dengue,11,mayores de 65 anos,1,comuna 9,ciudad de buenos aires,21,2009,171062
comuna 1,2,ciudad de buenos aires,2019,49,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,22,2001,255457
comuna 1,2,ciudad de buenos aires,2019,51,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,23,2001,255457
berazategui,6,buenos aires,2019,7,dengue,10,de 45 a 65 anos,1,berazategui,buenos aires,24,6091,362021
exaltacion de la cruz,6,buenos aires,2019,26,dengue,10,de 45 a 65 anos,1,exaltacion de la cruz,buenos aires,25,6266,35922
florencio varela,6,buenos aires,2019,9,dengue,6,de 15 a 19 anos,1,florencio varela,buenos aires,26,6274,508671
florencio varela,6,buenos aires,2019,9,dengue,8,de 25 a 34 anos,2,florencio varela,buenos aires,27,6274,508671
florencio varela,6,buenos aires,2019,16,dengue,8,de 25 a 34 anos,1,florencio varela,buenos aires,28,6274,508671
florencio varela,6,buenos aires,2019,18,dengue,9,de 35 a 44 anos,1,florencio varela,buenos aires,29,6274,508671
florencio varela,6,buenos aires,2019,16,dengue,10,de 45 a 65 anos,1,florencio varela,buenos aires,30,6274,508671
general pueyrredon,6,buenos aires,2019,14,dengue,8,de 25 a 34 anos,1,general pueyrredon,buenos aires,31,6357,653406
ituzaingo,6,corrientes,2019,12,dengue,5,de 10 a 14 anos,1,ituzaingo,buenos aires,32,18084,33505
ituzaingo,6,corrientes,2019,9,dengue,6,de 15 a 19 anos,1,ituzaingo,buenos aires,33,18084,33505
ituzaingo,6,corrientes,2019,15,dengue,6,de 15 a 19 anos,1,ituzaingo,buenos aires,34,18084,33505
ituzaingo,6,corrientes,2019,19,dengue,6,de 15 a 19 anos,1,ituzaingo,buenos aires,35,18084,33505
ituzaingo,6,corrientes,2019,9,dengue,7,de 20 a 24 anos,1,ituzaingo,buenos aires,36,18084,33505
ituzaingo,6,corrientes,2019,11,dengue,7,de 20 a 24 anos,1,ituzaingo,buenos aires,37,18084,33505
ituzaingo,6,corrientes,2019,13,dengue,7,de 20 a 24 anos,1,ituzaingo,buenos aires,38,18084,33505
ituzaingo,6,corrientes,2019,13,dengue,8,de 25 a 34 anos,2,ituzaingo,buenos aires,39,18084,33505
ituzaingo,6,corrientes,2019,14,dengue,8,de 25 a 34 anos,2,ituzaingo,buenos aires,40,18084,33505
ituzaingo,6,corrientes,2019,15,dengue,8,de 25 a 34 anos,1,ituzaingo,buenos aires,41,18084,33505
ituzaingo,6,corrientes,2019,9,dengue,9,de 35 a 44 anos,1,ituzaingo,buenos aires,42,18084,33505
ituzaingo,6,corrientes,2019,11,dengue,9,de 35 a 44 anos,1,ituzaingo,buenos aires,43,18084,33505
ituzaingo,6,corrientes,2019,12,dengue,9,de 35 a 44 anos,2,ituzaingo,buenos aires,44,18084,33505
ituzaingo,6,corrientes,2019,13,dengue,9,de 35 a 44 anos,3,ituzaingo,buenos aires,45,18084,33505
ituzaingo,6,corrientes,2019,14,dengue,9,de 35 a 44 anos,1,ituzaingo,buenos aires,46,18084,33505
ituzaingo,6,corrientes,2019,16,dengue,9,de 35 a 44 anos,1,ituzaingo,buenos aires,47,18084,33505
ituzaingo,6,corrientes,2019,18,dengue,9,de 35 a 44 anos,1,ituzaingo,buenos aires,48,18084,33505
ituzaingo,6,corrientes,2019,12,dengue,10,de 45 a 65 anos,1,ituzaingo,buenos aires,49,18084,33505
ituzaingo,6,corrientes,2019,13,dengue,10,de 45 a 65 anos,2,ituzaingo,buenos aires,50,18084,33505
ituzaingo,6,corrientes,2019,14,dengue,10,de 45 a 65 anos,1,ituzaingo,buenos aires,51,18084,33505
ituzaingo,6,corrientes,2019,16,dengue,10,de 45 a 65 anos,1,ituzaingo,buenos aires,52,18084,33505
ituzaingo,6,corrientes,2019,17,dengue,10,de 45 a 65 anos,2,ituzaingo,buenos aires,53,18084,33505
ituzaingo,6,corrientes,2019,18,dengue,10,de 45 a 65 anos,1,ituzaingo,buenos aires,54,18084,33505
ituzaingo,6,corrientes,2019,19,dengue,10,de 45 a 65 anos,1,ituzaingo,buenos aires,55,18084,33505
jose c paz,6,buenos aires,2019,21,dengue,8,de 25 a 34 anos,1,jose c paz,buenos aires,56,6412,303896
la plata,6,buenos aires,2019,19,dengue,7,de 20 a 24 anos,1,la plata,buenos aires,57,6441,708733
la plata,6,buenos aires,2019,15,dengue,8,de 25 a 34 anos,1,la plata,buenos aires,58,6441,708733
malvinas argentinas,6,buenos aires,2019,23,dengue,7,de 20 a 24 anos,1,malvinas argentinas,buenos aires,59,6515,356643
malvinas argentinas,6,buenos aires,2019,12,dengue,8,de 25 a 34 anos,1,malvinas argentinas,buenos aires,60,6515,356643
mercedes,6,corrientes,2019,14,dengue,8,de 25 a 34 anos,1,mercedes,buenos aires,61,18105,44486
moron,6,buenos aires,2019,17,dengue,8,de 25 a 34 anos,1,moron,buenos aires,62,6568,319138
moron,6,buenos aires,2019,16,dengue,9,de 35 a 44 anos,1,moron,buenos aires,63,6568,319138
moron,6,buenos aires,2019,12,dengue,10,de 45 a 65 anos,1,moron,buenos aires,64,6568,319138
moron,6,buenos aires,2019,16,dengue,10,de 45 a 65 anos,1,moron,buenos aires,65,6568,319138
moron,6,buenos aires,2019,16,dengue,11,mayores de 65 anos,1,moron,buenos aires,66,6568,319138
pergamino,6,buenos aires,2019,15,dengue,8,de 25 a 34 anos,1,pergamino,buenos aires,67,6623,109582
pergamino,6,buenos aires,2019,7,dengue,10,de 45 a 65 anos,2,pergamino,buenos aires,68,6623,109582
san miguel,6,corrientes,2019,15,dengue,9,de 35 a 44 anos,1,san miguel,buenos aires,69,18154,11475
tandil,6,buenos aires,2019,18,dengue,10,de 45 a 65 anos,1,tandil,buenos aires,70,6791,137922
tigre,6,buenos aires,2019,9,dengue,4,de 5 a 9 anos,1,tigre,buenos aires,71,6805,455056
zarate,6,buenos aires,2019,6,dengue,9,de 35 a 44 anos,1,zarate,buenos aires,72,6882,126865
cordoba capital,14,cordoba,2019,19,dengue,9,de 35 a 44 anos,1,cordoba capital,cordoba,73,14014,1446201
colon,14,cordoba,2019,17,dengue,7,de 20 a 24 anos,1,colon,cordoba,74,14021,293944
colon,14,cordoba,2019,9,dengue,10,de 45 a 65 anos,1,colon,cordoba,75,14021,293944
12 de octubre,22,chaco,2019,21,dengue,6,de 15 a 19 anos,1,12 de octubre,chaco,76,22036,25970
2 de abril,22,chaco,2019,18,dengue,3,de 2 a 4 anos,1,2 de abril,chaco,77,22039,7866
9 de julio,22,santa fe,2019,19,dengue,6,de 15 a 19 anos,1,9 de julio,chaco,78,82077,33260
chacabuco,22,buenos aires,2019,15,dengue,7,de 20 a 24 anos,1,chacabuco,chaco,79,6210,52304
chacabuco,22,buenos aires,2019,15,dengue,8,de 25 a 34 anos,1,chacabuco,chaco,80,6210,52304
chacabuco,22,buenos aires,2019,2,dengue,10,de 45 a 65 anos,1,chacabuco,chaco,81,6210,52304
comandante fernandez,22,chaco,2019,25,dengue,10,de 45 a 65 anos,1,comandante fernandez,chaco,82,22021,112951
general belgrano,22,chaco,2019,21,dengue,9,de 35 a 44 anos,1,general belgrano,chaco,83,22049,14502
general guemes,22,chaco,2019,16,dengue,5,de 10 a 14 anos,1,general guemes,chaco,84,22063,76624
general guemes,22,chaco,2019,19,dengue,5,de 10 a 14 anos,1,general guemes,chaco,85,22063,76624
general guemes,22,chaco,2019,20,dengue,5,de 10 a 14 anos,1,general guemes,chaco,86,22063,76624
general guemes,22,chaco,2019,21,dengue,5,de 10 a 14 anos,2,general guemes,chaco,87,22063,76624
general guemes,22,chaco,2019,22,dengue,5,de 10 a 14 anos,1,general guemes,chaco,88,22063,76624
general guemes,22,chaco,2019,24,dengue,5,de 10 a 14 anos,1,general guemes,chaco,89,22063,76624
general guemes,22,chaco,2019,14,dengue,6,de 15 a 19 anos,2,general guemes,chaco,90,22063,76624
general guemes,22,chaco,2019,17,dengue,6,de 15 a 19 anos,2,general guemes,chaco,91,22063,76624
general guemes,22,chaco,2019,19,dengue,6,de 15 a 19 anos,1,general guemes,chaco,92,22063,76624
general guemes,22,chaco,2019,20,dengue,6,de 15 a 19 anos,4,general guemes,chaco,93,22063,76624
general guemes,22,chaco,2019,12,dengue,3,de 2 a 4 anos,1,general guemes,chaco,94,22063,76624
general guemes,22,chaco,2019,15,dengue,7,de 20 a 24 anos,1,general guemes,chaco,95,22063,76624
general guemes,22,chaco,2019,13,dengue,7,de 20 a 24 anos,1,general guemes,chaco,96,22063,76624
general guemes,22,chaco,2019,14,dengue,7,de 20 a 24 anos,1,general guemes,chaco,97,22063,76624
general guemes,22,chaco,2019,15,dengue,7,de 20 a 24 anos,1,general guemes,chaco,98,22063,76624
general guemes,22,chaco,2019,18,dengue,7,de 20 a 24 anos,1,general guemes,chaco,99,22063,76624
general guemes,22,chaco,2019,19,dengue,7,de 20 a 24 anos,4,general guemes,chaco,100,22063,76624
general guemes,22,chaco,2019,20,dengue,7,de 20 a 24 anos,3,general guemes,chaco,101,22063,76624
general guemes,22,chaco,2019,21,dengue,7,de 20 a 24 anos,1,general guemes,chaco,102,22063,76624
general guemes,22,chaco,2019,22,dengue,7,de 20 a 24 anos,1,general guemes,chaco,103,22063,76624
general guemes,22,chaco,2019,24,dengue,7,de 20 a 24 anos,1,general guemes,chaco,104,22063,76624
general guemes,22,chaco,2019,12,dengue,8,de 25 a 34 anos,1,general guemes,chaco,105,22063,76624
general guemes,22,chaco,2019,14,dengue,8,de 25 a 34 anos,1,general guemes,chaco,106,22063,76624
general guemes,22,chaco,2019,15,dengue,8,de 25 a 34 anos,2,general guemes,chaco,107,22063,76624
general guemes,22,chaco,2019,16,dengue,8,de 25 a 34 anos,1,general guemes,chaco,108,22063,76624
general guemes,22,chaco,2019,18,dengue,8,de 25 a 34 anos,1,general guemes,chaco,109,22063,76624
general guemes,22,chaco,2019,19,dengue,8,de 25 a 34 anos,4,general guemes,chaco,110,22063,76624
general guemes,22,chaco,2019,20,dengue,8,de 25 a 34 anos,8,general guemes,chaco,111,22063,76624
general guemes,22,chaco,2019,21,dengue,8,de 25 a 34 anos,1,general guemes,chaco,112,22063,76624
general guemes,22,chaco,2019,22,dengue,8,de 25 a 34 anos,2,general guemes,chaco,113,22063,76624
general guemes,22,chaco,2019,17,dengue,9,de 35 a 44 anos,1,general guemes,chaco,114,22063,76624
general guemes,22,chaco,2019,18,dengue,9,de 35 a 44 anos,2,general guemes,chaco,115,22063,76624
general guemes,22,chaco,2019,19,dengue,9,de 35 a 44 anos,3,general guemes,chaco,116,22063,76624
general guemes,22,chaco,2019,20,dengue,9,de 35 a 44 anos,4,general guemes,chaco,117,22063,76624
general guemes,22,chaco,2019,21,dengue,9,de 35 a 44 anos,3,general guemes,chaco,118,22063,76624
general guemes,22,chaco,2019,22,dengue,9,de 35 a 44 anos,1,general guemes,chaco,119,22063,76624
general guemes,22,chaco,2019,12,dengue,10,de 45 a 65 anos,1,general guemes,chaco,120,22063,76624
general guemes,22,chaco,2019,18,dengue,10,de 45 a 65 anos,2,general guemes,chaco,121,22063,76624
general guemes,22,chaco,2019,19,dengue,10,de 45 a 65 anos,5,general guemes,chaco,122,22063,76624
general guemes,22,chaco,2019,20,dengue,10,de 45 a 65 anos,5,general guemes,chaco,123,22063,76624
general guemes,22,chaco,2019,21,dengue,10,de 45 a 65 anos,6,general guemes,chaco,124,22063,76624
general guemes,22,chaco,2019,22,dengue,10,de 45 a 65 anos,1,general guemes,chaco,125,22063,76624
general guemes,22,chaco,2019,19,dengue,4,de 5 a 9 anos,2,general guemes,chaco,126,22063,76624
general guemes,22,chaco,2019,20,dengue,4,de 5 a 9 anos,4,general guemes,chaco,127,22063,76624
general guemes,22,chaco,2019,20,dengue,11,mayores de 65 anos,2,general guemes,chaco,128,22063,76624
libertador general san martin,22,san luis,2019,36,dengue,3,de 2 a 4 anos,1,libertador general san martin,chaco,129,74063,4436
mayor luis j fontana,22,chaco,2019,48,dengue,4,de 5 a 9 anos,1,mayor luis j fontana,chaco,130,22098,59701
san fernando,22,chaco,2019,11,dengue,5,de 10 a 14 anos,1,san fernando,chaco,131,22140,438554
san fernando,22,chaco,2019,26,dengue,5,de 10 a 14 anos,1,san fernando,chaco,132,22140,438554
