Nombre,Código UTA 2020,Latitud,Longitud,Provincia,Población INDEC,Hogares con agua de red pública,Hogares con desague de cloaca a red pública,Hogares con red de gas,Hogares con heladera,"Total de hogares para variable agua de red pública, gas y heladera",Total de hogares para variable cloaca a red pública,Hogares con tenencia irregular de terreno o vivienda,Cantidad total de viviendas,Hogares con déficit habitacional cuantitativo simple,Hogares con déficit habitacional cuantitativo compuesto,Viviendas irrecuperables,Hogares con Necesidades Básicas Insatisfechas,Hogares con hacinamiento crítico
san jeronimo,82105,-32.2399352,-61.231266,santa fe,80840.0,84.0,40.0,28.0,94.0,25662.0,25711.0,12.0,24356.0,5.0,7.0,521.0,6.0,3.0
yavi,38112,-22.32981174,-65.82598231,jujuy,20806.0,87.0,51.0,0.0,59.0,5625.0,5668.0,14.0,4793.0,14.0,34.0,1106.0,16.0,6.0
el cuy,62035,-39.866718292,-68.703437805,rio negro,5280.0,53.0,0.0,0.0,70.0,1869.0,1872.0,12.0,1749.0,6.0,14.0,148.0,18.0,6.0
pergamino,6623,-33.5893048,-60.7727646,buenos aires,104590.0,91.0,66.0,39.0,96.0,34768.0,34817.0,10.0,33511.0,3.0,5.0,617.0,4.0,2.0
villa gesell,6868,-37.336673158,-57.032501469,buenos aires,31730.0,89.0,48.0,43.0,95.0,10374.0,10508.0,14.0,9971.0,3.0,7.0,424.0,8.0,4.0
general paz,6343,-35.451905725,-58.269541772,buenos aires,11202.0,71.0,42.0,55.0,97.0,3782.0,3789.0,10.0,3647.0,3.0,6.0,118.0,4.0,2.0
atreuco,42007,-37.126296112,-63.82921122,la pampa,10153.0,89.0,35.0,83.0,97.0,3586.0,3605.0,8.0,3499.0,2.0,2.0,19.0,1.0,0.0
25 de mayo,62091,-41.5127138,-69.51735638,rio negro,15743.0,86.0,3.0,51.0,74.0,4673.0,4701.0,14.0,4511.0,3.0,7.0,180.0,12.0,5.0
rawson,70077,-31.6492,-68.5015,san juan,114368.0,94.0,13.0,60.0,94.0,29520.0,29534.0,20.0,26331.0,10.0,16.0,1760.0,9.0,5.0
general juan madariaga,6315,-37.024627686,-56.956073761,buenos aires,19747.0,41.0,49.0,86.0,98.0,6332.0,6342.0,14.0,6162.0,2.0,5.0,158.0,7.0,3.0
presidencia de la plaza,22119,-26.84889313,-59.87023116,chaco,12499.0,81.0,29.0,0.0,74.0,3416.0,3422.0,28.0,3184.0,6.0,14.0,269.0,20.0,8.0
albardon,70007,-31.326969147,-68.417236328,san juan,23888.0,94.0,11.0,19.0,89.0,5863.0,5874.0,24.0,5398.0,7.0,18.0,603.0,15.0,7.0
punta indio,6655,-35.350566,-57.297616,buenos aires,9888.0,76.0,52.0,69.0,97.0,3413.0,3431.0,10.0,3361.0,1.0,6.0,185.0,6.0,1.0
lezama,6466,-35.874824873,-57.896422676,buenos aires,,,,,,,,,,,,,,
tolhuin,94035,-54.511386755,-67.195804464,tierra del fuego antartida e islas del atlantico sur,,,,,,,,,,,,,,
castro barros,46021,-28.9634753,-66.99905992,la rioja,4268.0,98.0,0.0,0.0,92.0,1328.0,1334.0,10.0,1302.0,1.0,3.0,24.0,5.0,2.0
general san martin,46091,-31.692226058,-65.886039021,la rioja,4944.0,75.0,0.0,0.0,74.0,1297.0,1303.0,11.0,1269.0,2.0,8.0,86.0,22.0,9.0
zarate,6882,-33.9804188,-59.2846864,buenos aires,114269.0,93.0,62.0,59.0,96.0,34013.0,34051.0,12.0,31115.0,8.0,13.0,1631.0,9.0,4.0
9 de julio,22105,-27.017018676,-61.187428084,chaco,28555.0,13.0,0.0,0.0,79.0,7798.0,7810.0,21.0,7416.0,4.0,12.0,608.0,20.0,5.0
jimenez,86091,-26.688954306,-64.454471239,santiago del estero,14352.0,62.0,0.0,0.0,74.0,3586.0,3591.0,12.0,2019.0,43.0,50.0,230.0,24.0,8.0
libertad,22077,-27.269456708,-59.211222328,chaco,12158.0,83.0,42.0,0.0,87.0,3237.0,3240.0,22.0,15129.0,4.0,9.0,2437.0,13.0,0.0
avellaneda,86028,-28.70814175,-63.1050531,santiago del estero,20763.0,46.0,0.0,0.0,56.0,4897.0,4897.0,28.0,3897.0,20.0,45.0,1205.0,28.0,12.0
rio grande,94007,-52.884128633,-68.448783124,tierra del fuego antartida e islas del atlantico sur,70042.0,93.0,90.0,91.0,95.0,21410.0,21495.0,16.0,19790.0,7.0,18.0,2399.0,15.0,2.0
rivadavia,86154,-29.83512,-62.16991,santiago del estero,5015.0,42.0,0.0,0.0,92.0,1468.0,1470.0,10.0,1379.0,6.0,9.0,44.0,8.0,1.0
comuna 7,2007,-34.63680708,-58.458269851,ciudad de buenos aires,220591.0,99.0,97.0,87.0,94.0,80628.0,81651.0,13.0,73034.0,10.0,11.0,391.0,8.0,2.0
catrilo,42028,-36.67294558,-63.66446349,la pampa,7293.0,87.0,10.0,75.0,97.0,2389.0,2395.0,8.0,2304.0,3.0,5.0,52.0,4.0,1.0
rinconada,38049,-22.53894,-65.96138,jujuy,2488.0,46.0,0.0,0.0,15.0,553.0,570.0,15.0,520.0,5.0,36.0,168.0,25.0,5.0
