UTA_ID,UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
26007,26007,biedma,109145,112626,116160,119737,123366,127040,130761,134525
26014,26014,cushamen,23910,24228,24538,24835,25126,25407,25689,25954
26021,26021,escalante,225237,229821,234397,238946,243481,247987,252463,256916
26028,26028,florentino ameghino,1764,1776,1785,1795,1804,1813,1821,1828
26035,26035,futaleufu,48035,48515,48976,49418,49842,50246,50632,50999
26042,26042,gaiman,12608,12759,12904,13047,13184,13316,13445,13568
26049,26049,gastre,1387,1377,1368,1365,1358,1353,1342,1338
26056,26056,languineo,3140,3135,3127,3118,3107,3096,3082,3068
26063,26063,martires,729,725,715,711,704,700,695,692
26070,26070,paso de indios,1834,1822,1809,1796,1781,1767,1750,1735
26077,26077,rawson,143006,143968,144869,145697,146455,147153,147788,148358
26084,26084,rio senguer,6191,6227,6248,6266,6281,6295,6308,6318
26091,26091,sarmiento,14314,14683,15055,15427,15802,16179,16559,16939
26098,26098,tehuelches,5529,5523,5516,5506,5493,5479,5461,5441
26105,26105,telsen,1551,1544,1527,1517,1510,1499,1488,1476
