UTA_ID,UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
58007,58007,alumine,11054,11384,11718,12057,12400,12749,13101,13459
58014,58014,anelo,15400,16003,16622,17258,17910,18580,19266,19970
58021,58021,catan lil,2861,2879,2896,2912,2927,2941,2955,2968
58042,58042,chos malal,17011,17123,17229,17327,17419,17503,17583,17656
58028,58028,collon cura,4879,4899,4918,4937,4955,4973,4991,5009
58035,58035,confluencia,417874,422415,426804,431047,435156,439124,442956,446648
58049,58049,huiliches,17363,17605,17842,18074,18302,18526,18744,18959
58056,58056,lacar,36395,37078,37756,38429,39099,39765,40426,41084
58063,58063,loncopue,7745,7802,7858,7910,7961,8009,8055,8099
58070,58070,los lagos,16480,17057,17647,18248,18863,19491,20132,20786
58077,58077,minas,7876,7906,7935,7963,7990,8017,8044,8071
58084,58084,norquin,5965,5999,6031,6062,6092,6121,6149,6175
58091,58091,pehuenches,32835,33963,35081,36189,37286,38372,39447,40509
58098,58098,picun leufu,5185,5235,5282,5330,5375,5421,5466,5508
58105,58105,picunches,7939,8005,8069,8130,8188,8243,8295,8344
58112,58112,zapala,39922,40148,40369,40588,40803,41015,41223,41428
