UTA_ID,UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
70007,70007,albardon,28304,28788,29269,29744,30218,30687,31150,31609
70014,70014,angaco,9013,9100,9186,9271,9356,9439,9522,9604
70021,70021,calingasta,9363,9433,9503,9571,9641,9708,9775,9841
70028,70028,san juan capital,108306,107850,107401,106955,106509,106070,105639,105208
70035,70035,caucete,44598,45271,45938,46598,47255,47904,48547,49183
70042,70042,chimbas,103159,104900,106627,108341,110040,111724,113390,115037
70049,70049,iglesia,11862,12182,12499,12814,13126,13435,13741,14045
70056,70056,jachal,23324,23456,23586,23716,23845,23972,24098,24223
70063,70063,9 de julio,11313,11538,11761,11982,12202,12420,12634,12848
70070,70070,pocito,67376,69014,70638,72249,73847,75430,76998,78546
70077,70077,rawson,124929,125904,126870,127828,128779,129722,130654,131576
70084,70084,rivadavia,91279,92112,92939,93758,94571,95377,96174,96962
70091,70091,san martin,12541,12687,12830,12973,13114,13255,13394,13531
70098,70098,santa lucia,54091,54701,55304,55904,56498,57087,57669,58246
70105,70105,sarmiento,26059,26487,26910,27331,27748,28161,28570,28974
70112,70112,ullum,5479,5538,5598,5656,5715,5772,5829,5885
70119,70119,valle fertil,7881,7942,8001,8060,8118,8177,8234,8291
70126,70126,25 de mayo,19734,20010,20285,20557,20827,21095,21360,21622
70133,70133,zonda,5853,5963,6072,6181,6288,6395,6500,6604
