UTA_ID,UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
90007,90007,burruyacu,43802,44518,45225,45927,46620,47306,47983,48651
90084,90084,tucuman capital,597822,601811,605767,609681,613557,617384,621165,624890
90021,90021,chicligasta,92223,93351,94466,95570,96664,97745,98812,99865
90014,90014,cruz alta,213080,216470,219826,223148,226437,229688,232897,236062
90028,90028,famailla,40857,41516,42167,42813,43451,44083,44707,45321
90035,90035,graneros,14941,15062,15181,15299,15416,15531,15645,15758
90042,90042,juan b alberdi,34474,34888,35297,35703,36104,36500,36892,37278
90049,90049,la cocha,21697,21960,22222,22479,22735,22988,23237,23484
90056,90056,leales,61703,62334,62958,63575,64187,64792,65389,65977
90063,90063,lules,85852,87772,89673,91554,93417,95259,97076,98869
90070,90070,monteros,73402,74379,75346,76303,77251,78188,79112,80025
90077,90077,rio chico,64950,65745,66531,67310,68080,68842,69594,70336
90091,90091,simoca,33865,34116,34366,34613,34856,35098,35336,35572
90098,90098,tafi del valle,17082,17293,17502,17708,17912,18114,18314,18511
90105,90105,tafi viejo,145174,147660,150121,152557,154969,157352,159705,162025
90112,90112,trancas,20679,21026,21369,21710,22047,22380,22709,23033
90119,90119,yerba buena,92785,94721,96639,98537,100415,102273,104107,105914
