Departamento,2018,2019,2020,2021,2022,2023,2024,2025
alumine,11054,11384,11718,12057,12400,12749,13101,13459
anelo,15400,16003,16622,17258,17910,18580,19266,19970
catan lil,2861,2879,2896,2912,2927,2941,2955,2968
chos malal,17011,17123,17229,17327,17419,17503,17583,17656
collon cura,4879,4899,4918,4937,4955,4973,4991,5009
confluencia,417874,422415,426804,431047,435156,439124,442956,446648
huiliches,17363,17605,17842,18074,18302,18526,18744,18959
lacar,36395,37078,37756,38429,39099,39765,40426,41084
loncopue,7745,7802,7858,7910,7961,8009,8055,8099
los lagos,16480,17057,17647,18248,18863,19491,20132,20786
minas,7876,7906,7935,7963,7990,8017,8044,8071
norquin,5965,5999,6031,6062,6092,6121,6149,6175
pehuenches,32835,33963,35081,36189,37286,38372,39447,40509
picun leufu,5185,5235,5282,5330,5375,5421,5466,5508
picunches,7939,8005,8069,8130,8188,8243,8295,8344
zapala,39922,40148,40369,40588,40803,41015,41223,41428
