UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
18007,bella vista,40938,41271,41599,41918,42229,42532,42827,43110
18014,beron de astrada,2761,2789,2817,2844,2870,2896,2921,2945
18021,corrientes capital,402483,406728,410878,414927,418880,422722,426443,430053
18028,concepcion,25010,25419,25819,26209,26590,26961,27321,27669
18035,curuzu cuatia,49031,49452,49862,50264,50656,51036,51406,51763
18042,empedrado,16261,16351,16437,16523,16606,16686,16765,16841
18049,esquina,32788,32925,33059,33191,33318,33441,33563,33678
18056,general alvear,8134,8131,8128,8127,8124,8122,8121,8119
18063,general paz,15638,15685,15730,15774,15817,15860,15901,15940
18070,goya,97091,97658,98213,98754,99283,99797,100296,100778
18077,itati,10055,10132,10208,10282,10353,10424,10491,10557
18084,ituzaingo,33344,33505,33661,33815,33964,34110,34251,34388
18091,lavalle,32815,33216,33609,33993,34366,34731,35083,35424
18098,mburucuya,9962,10017,10071,10124,10176,10226,10274,10321
18105,mercedes,44193,44486,44773,45052,45326,45591,45849,46098
18112,monte caseros,40970,41417,41854,42279,42696,43100,43492,43871
18119,paso de los libres,53179,53570,53952,54326,54690,55044,55387,55720
18126,saladas,24152,24310,24464,24615,24762,24905,25044,25179
18133,san cosme,16352,16546,16736,16921,17102,17278,17447,17613
18140,san luis del palmar,19563,19746,19925,20100,20270,20435,20596,20752
18147,san martin,14747,14901,15051,15197,15340,15478,15613,15742
18154,san miguel,11410,11475,11540,11604,11665,11725,11783,11840
18161,san roque,19692,19791,19888,19983,20075,20165,20252,20336
18168,santo tome,71150,72157,73143,74106,75045,75957,76843,77699
18175,sauce,9365,9374,9384,9392,9401,9409,9417,9424
