UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
42007,atreuco,10573,10580,10584,10585,10583,10579,10572,10563
42014,caleu caleu,2688,2729,2768,2809,2848,2889,2928,2967
42021,la pampa capital,117536,118669,119781,120858,121922,122966,123989,124984
42028,catrilo,8006,8066,8124,8181,8236,8290,8342,8392
42049,chalileo,3551,3616,3680,3744,3807,3871,3935,4000
42056,chapaleufu,12860,12971,13079,13185,13289,13390,13489,13584
42063,chical co,1524,1520,1519,1518,1515,1514,1513,1512
42035,conhelo,14269,14229,14191,14165,14124,14076,14024,13970
42042,curaco,1169,1180,1193,1204,1217,1228,1240,1251
42070,guatrache,8931,8902,8871,8838,8803,8766,8726,8685
42077,hucal,7482,7445,7406,7370,7339,7305,7270,7234
42084,lihuel calel,345,334,324,314,305,296,289,282
42091,limay mahuida,570,577,583,590,597,604,611,618
42098,loventue,9092,9113,9131,9147,9161,9173,9183,9190
42105,maraco,66055,66716,67361,67995,68619,69231,69832,70419
42112,puelen,11634,11894,12157,12423,12691,12962,13235,13511
42119,quemu quemu,9062,9072,9080,9087,9090,9093,9092,9089
42126,rancul,11102,11108,11111,11111,11108,11103,11095,11084
42133,realico,17742,17866,17986,18102,18215,18324,18429,18529
42140,toay,16805,17395,17994,18605,19234,19878,20540,21219
42147,trenel,5368,5342,5325,5306,5287,5266,5245,5223
42154,utracan,16014,16098,16180,16257,16332,16403,16468,16532
