Id;Nombre;Tipo;Localidad;Provincia;Latitud;Longitud;Altura;Id Interno;Ubicacion;Desde;Hasta
413;25 de Mayo - EEA Pergamino;Nimbus THP;25 de Mayo;Buenos Aires;-35.48;-60.13;85;A872872;CC 18 CP6660;04/09/2012;20/09/2025
682;5000;Nimbus THP;Hurlingham;Buenos Aires;-85;-55;0;A875000;-;20/11/2019;17/09/2025
683;5001;Nimbus THP;Hurlingham;Buenos Aires;-85;-60;0;A875001;-;20/11/2019;19/09/2025
704;993 - LAB;Nimbus THP;loc_prueba;Sin asignar;-84;-70;0;A872993;LABORATORIO;08/03/2022;26/08/2024
705;994 - LAB;Nimbus THP;loc_prueba;Sin asignar;-84;-65;0;A872994;LABORATORIO;01/01/2012;28/08/2025
707;996 - LAB;Nimbus THP;loc_prueba;Sin asignar;-84;-55;0;A872996;LABORATORIO;12/11/2021;04/09/2025
708;997 - LAB;Nimbus THP;loc_prueba;Sin asignar;-84;-50;0;A872997;LABORATORIO;08/03/2022;18/07/2025
709;998 - LAB;Nimbus THP;loc_prueba;Sin asignar;-84;-45;0;A872998;Laboratorio;01/01/2012;18/07/2025
18;999 - LAB;Nimbus THP;loc_prueba;Sin asignar;-84;-40;22;A872999;CNIA;04/01/2000;02/06/2025
706;A872995 - CITEDEF-INTA;Nimbus THP;Villa Martelli;Buenos Aires;-34.56;-58.51;18;A872995;Laboratorio de Electrónica del CITEDEF;08/03/2022;20/09/2025
516;Abra Pampa - EEA Abra Pampa;Nimbus THP;Abra Pampa;Jujuy;-22.8;-65.83;3463;A872923;Ruta Provincial 11 km 17 - Abra Pampa;28/08/2013;20/09/2025
236;Alfonso - EEA Pergamino;Nimbus THP;Mariano Alfonso;Buenos Aires;-33.91;-60.84;80;A872814;"Ruta 8 km; 248.";31/12/1999;20/09/2025
393;Andalgala - EEA Catamarca;Nimbus THP;Andalgala;Catamarca;-27.61;-66.33;983;A872885;Ing. Jacobaci s/n. Distrito de Huaco CP :4740;12/12/2012;20/09/2025
403;Andresito - EEA Montecarlo;Nimbus THP;Andresito;Misiones;-25.62;-54.07;261;A872912;RP 19 y Av. Chile, acceso Andresito, CP: 3385;11/06/2013;20/09/2025
233;Anguil -EEA Anguil;Nimbus THP;Anguil;La Pampa;-36.54;-63.99;165;A872823;Ruta Nacional Nº 5 Km. 580. CP: 6326;13/09/2010;20/09/2025
468;Aparicio - EEA Barrow;Nimbus THP;Coronel Dorrego;Buenos Aires;-38.67;-60.93;11.880.000.305.175.700;A872838;0;12/11/2014;20/09/2025
237;Arrecifes - EEA Pergamino;Nimbus THP;Arrecifes;Buenos Aires;-34.05;-60.14;36;A872820;Ruta 8 Km 178,5;11/10/2010;20/09/2025
404;B de Irigoyen - EEA Montecarlo;Nimbus THP;Bernardo de Irigoyen;Misiones;-26.28;-53.67;815;A872913;RN 14, acceso B. de Irigoyen, CP: 3366;07/06/2013;20/09/2025
242;Balcarce - EEA Balcarce;Nimbus THP;Balcarce;Buenos Aires;-37.76;-58.3;130;A872824;Ruta 226 km 73,5. C.C 276 CP: 7620;10/11/2010;20/09/2025
251;Bandera - EEA EEA Quimilí;Nimbus THP;Belgrano;Santiago del Estero;-28.89;-62.27;98;A872811;;14/12/2010;20/09/2025
269;Bariloche - EEA Bariloche;Nimbus THP;Bariloche;Río Negro;-41.12;-71.25;796;A872849;Modesta Victoria 4450 CP: 8400;28/05/2011;20/09/2025
474;Barreal - EEA San Juan;Nimbus THP;Barreal;San Juan;-31.62;-69.47;30;A872927;Presidente Roca S/N. C.P. 5405, Barreal;25/11/2014;20/09/2025
383;Basail - EEA Col Benitez;Nimbus THP;San Fernando;Chaco;-27.9;-59.3;55;A872893;;13/12/2012;20/09/2025
491;Bella Vista - EEA Bella Vista;Nimbus THP;Bella Vista;Corrientes;-28.45;-58.99;70;A872951;Ruta 27-10Km norte de Bella Vista -CC5-3432;17/06/2015;20/09/2025
425;Bme de las Casas -EEA Colorado;Nimbus THP;Bartolomé de las Casas;Formosa;-25.45;-59.5;1.164.000.015.258.780;A872904;-;12/12/2013;24/03/2023
518;Bordenave - EEA Bordenave;Nimbus THP;Bordenave;Buenos Aires;-37.75;-63.08;202;A872817;Ruta Provincial 76 Km 36,5 8187;02/11/2016;20/09/2025
427;Caa Cati - EEA Corrientes;Nimbus THP;Caá Catí;Corrientes;-27.75;-57.62;74;A872921;Blanco Vega 319, CP: 3407;17/12/2013;20/09/2025
296;Calchaqui - EEA Reconquista;Nimbus THP;Calchaqui;Santa Fe;-29.88;-60.24;70;A872867;Est. Los Laureles, 5 km al este de Calchaquí;16/11/2011;28/08/2024
484;Capilla de Siton - ICyA CIRN;Nimbus THP;Capilla de Sitón;Córdoba;-30.57;-63.65;212;A872945;-;14/04/2015;28/04/2023
678;Casbas - EEA C. Naredo;Nimbus THP;A definir;Sin asignar;-36.86;-62.45;100;A872926;Casbas;05/11/2019;20/09/2025
79;Castelar - ICyA CIRN;Nimbus THP;Hurlingham;Buenos Aires;-34.61;-58.67;22;A872801;Las Cabañas y De Los Reseros s/n;06/08/2009;20/09/2025
380;Catuna - EEA La Rioja;Nimbus THP;Villa Santa Rita de Catuna;La Rioja;-30.96;-66.17;497;A872889;Ruta Nac. 79 s/n,Dto.Gral Ortiz de Ocampo, CP:5275;04/06/2012;07/12/2022
431;Caucete - EEA San Juan;Nimbus THP;Caucete;San Juan;-31.7;-68.29;543;A872928;Divisoria e/20 y Ruta 270 Dto 25 de Mayo CP: 5443;11/04/2014;31/08/2025
489;Cañada Ombu - EEA Reconquista;Nimbus THP;Cañada Ombu;Santa Fe;-28.36;-60.15;58;A872946;Ruta 100, KM 20,Código Postal: 3551;21/11/2016;14/12/2022
293;Ceres - EEA Rafaela;Nimbus THP;Ceres;Santa Fe;-29.87;-61.96;2;A872864;Ruta 34 km 389, Ceres;06/06/2013;20/06/2025
382;Cerro Azul - EEA Cerro Azul;Nimbus THP;Cerro Azul;Misiones;-27.66;-55.44;292;A872908;Ruta Nacional 14. Km. 1085. CP: 3313;28/12/2012;20/09/2025
472;Chascomus - EEA Cuenca Salado;Nimbus THP;Chascomus;Buenos Aires;-35.74;-58.05;28.200.000.762.939.400;A872806;;21/11/2014;20/09/2025
